Barra,Tensao_pu,Angulo_graus
294,0.9918,-41.5384
295,1.0040,-38.8844
296,0.9980,-40.1454
297,1.0214,-48.4847
299,1.0440,-12.9888
300,0.9610,-9.2430
301,0.9800,-15.4307
302,0.9650,-11.7469
303,0.9990,2.9848
304,0.9760,-20.3697
305,0.9850,-11.9692
306,0.9850,-29.5844
307,0.9827,-12.1864
308,0.9094,-43.4922
309,0.9059,-47.3649
312,0.9870,-5.7177
313,0.9063,-41.2570
314,0.9357,-45.3427
315,0.9880,-45.5412
316,0.9363,-45.8628
317,1.0030,-41.1913
318,0.9910,-27.4988
319,0.9720,-34.9616
320,1.0207,-16.0490
321,0.9794,-14.5978
322,0.9918,-16.0697
323,0.9687,-40.8814
324,0.9435,-35.3300
325,1.0265,-22.5698
326,0.9900,-21.8178
327,0.9687,-46.6929
328,0.9728,-22.5019
329,0.9275,-35.3655
330,0.9542,-22.9977
331,0.8999,-45.4195
332,0.9364,-48.5888
336,0.9041,-43.4137
337,0.9160,-44.8931
338,0.9240,-44.8835
339,0.9243,-44.8426
340,1.0002,-12.3915
341,0.9741,-27.5951
342,1.0075,-29.8703
343,1.0090,-2.4067
344,0.9909,-34.2021
345,0.9549,-35.2471
346,0.9910,-35.3390
347,0.9805,-33.3254
348,0.9958,-33.1122
349,0.9546,-36.4294
350,0.9043,-38.4844
351,0.8384,-38.7245
352,0.8452,-38.9704
353,0.9321,-40.6555
354,0.9920,-40.6555
355,0.9920,-40.6555
356,0.9087,-38.7245
357,0.9139,-38.9704
360,1.0156,-17.9663
362,0.9757,-29.3552
364,1.0465,-34.9245
365,1.0461,-34.9763
367,0.9758,-30.8200
368,0.9689,-34.0890
370,1.0357,-3.9185
371,0.9045,-40.6213
372,0.9033,-40.6287
373,0.9174,-40.4899
374,0.9189,-40.4600
375,0.9397,-40.5147
376,0.9028,-46.5052
377,0.9278,-40.4013
378,0.9297,-35.4993
379,0.9277,-40.6213
380,0.9390,-27.1064
381,0.9439,-26.1053
382,0.9570,-27.9556
383,0.9804,-33.3339
384,0.9097,-38.4832
385,0.8557,-40.9723
386,0.8834,-43.3174
387,0.8850,-43.6794
388,0.8834,-43.6291
389,0.8394,-43.6473
390,0.8983,-26.7998
391,0.6818,-26.8791
392,0.9838,-15.6991
393,0.6695,-26.8870
394,0.9745,-30.8603
395,0.6361,-26.9100
396,1.0001,-16.9596
397,0.6695,-26.8870
398,0.9716,-27.5483
399,0.9851,-28.8341
402,1.0420,-24.8697
403,0.9750,-48.9438
404,0.9650,-45.2110
405,0.9890,-45.2110
406,0.9990,-48.9438
409,0.9360,-19.3247
410,1.0134,-44.1617
411,0.9974,-45.2048
412,1.0841,-43.2147
413,0.9935,-37.0110
414,0.9562,-40.7419
415,0.9690,-44.3618
416,0.9861,-44.6189
417,1.0038,-44.6189
418,1.0005,-47.0714
420,0.9869,-42.0618
421,1.0078,-45.2941
422,1.0032,-48.1009
423,0.9102,21.6149
424,0.9328,25.9282
425,1.0129,-45.0311
426,1.0129,-45.0311
427,1.0133,-45.2781
428,1.0417,-47.1028
429,0.9888,-48.2546
430,0.9327,25.9243
431,1.0113,-44.7406
432,0.9967,-43.5919
435,0.9956,-43.9264
436,0.9983,-48.9155
437,0.9977,-50.0521
438,0.9966,-43.9593
439,0.9915,-44.4797
440,0.9385,-48.3095
441,1.0048,-45.9610
442,0.9786,-43.4575
443,0.9898,-51.1041
444,0.9995,-49.8432
445,0.9889,-44.4781
446,0.9845,-42.1411
447,0.9942,-44.1673
448,0.9849,-42.0792
449,0.9846,-41.2450
451,0.9857,-42.1403
452,0.9932,-43.8139
453,0.9926,-41.1527
454,0.9777,-42.6943
455,1.0214,-48.4847
458,1.0089,-35.8312
459,1.0152,-37.8747
460,1.0109,-1.8905
461,1.0035,-35.7419
462,1.0014,-39.3609
464,0.9877,-41.7348
465,1.0185,-43.4017
466,0.9865,-42.0355
467,0.9905,-49.4260
471,0.9882,-42.5510
472,0.9884,-44.2611
473,1.0073,-45.0678
474,0.9952,-43.7262
475,0.9909,-53.1147
476,0.9921,-49.3388
477,0.9880,-44.3661
478,0.9498,-13.4077
479,0.9617,-12.8651
480,0.9888,-44.3475
481,1.0028,-45.5205
482,1.0028,-45.5204
483,0.9976,-48.9438
484,0.9861,-45.2110
485,0.9976,-48.9438
486,0.9910,-50.2237
487,0.9894,-44.5789
488,0.9896,-44.5209
489,0.9864,-45.1694
490,0.9864,-45.1698
491,0.9900,-44.7025
492,0.9890,-44.8888
493,0.9964,-53.0575
494,0.9785,-47.1057
495,0.9907,-44.4821
496,1.0199,-42.5850
497,0.9723,-19.0666
498,0.9504,-6.8725
499,1.0939,-32.9296
500,0.9910,-1.0618
501,0.9870,0.0000
502,0.9920,4.5750
503,0.9810,5.7320
506,0.9850,-32.8231
507,0.9970,24.7112
508,0.9820,-15.1607
509,0.9850,-18.0005
510,1.0070,31.0740
511,0.9860,22.9839
512,0.9880,-25.7936
513,1.0010,24.6141
514,1.0030,-28.2006
515,0.9890,-23.9243
516,1.0040,-31.1711
517,0.9910,-18.0256
518,0.9750,-4.3629
519,0.9670,-8.0719
520,0.9960,3.3143
521,0.9890,-27.3726
522,0.9980,-28.6430
523,1.0010,-29.8684
524,1.0150,-24.1271
525,1.0050,-48.0445
526,1.0090,-33.7947
527,0.9469,-40.6147
528,0.9609,-45.3724
530,0.9722,-1.8668
531,1.0060,-4.9184
532,1.0160,-43.0330
533,1.0070,-41.0139
535,1.0214,-6.9168
536,0.9967,-6.6042
537,0.9969,-8.1929
538,0.9895,-4.9184
539,0.9741,-1.7616
540,0.9025,-18.1679
541,0.9773,-1.0185
542,0.9881,-2.8809
543,0.9731,-3.5773
544,0.9210,23.5297
545,0.9007,20.6372
546,0.9388,15.8230
547,0.8278,16.6864
548,0.8452,11.7478
549,0.7485,14.7035
550,0.7835,9.5088
551,0.6029,-23.4414
552,0.4157,-6.2708
554,0.9618,-27.3328
555,1.0086,-21.4057
556,0.0022,-59.4078
557,1.0112,-23.3627
559,0.9970,-26.8118
560,0.9952,-31.8430
561,0.8881,-25.0175
562,0.9383,-28.6871
563,0.9806,-27.1436
564,0.9909,-31.2606
565,0.9970,-36.5173
566,1.0129,-39.5582
567,0.9439,-37.1462
568,0.9620,-41.2650
570,0.9280,-38.0396
571,0.9550,-42.1027
572,0.9845,-18.5389
573,0.9536,-36.0315
574,0.9680,-39.7565
575,0.9819,-43.9195
576,0.9620,-43.7671
577,0.9576,-39.0263
578,0.9773,-1.0714
579,0.9772,-1.0750
580,0.0028,-58.6309
581,0.9957,-43.0330
582,0.9720,-43.5853
583,1.0140,-46.6620
584,0.9529,-41.1070
585,0.9607,-41.9814
586,0.9748,-43.0145
587,0.9986,-39.2757
588,0.9774,-45.9846
589,0.9833,-35.1040
590,1.0143,-42.5812
591,0.9796,-44.1892
593,1.0017,-41.0139
594,0.9797,-41.1407
595,0.9978,-42.7486
596,0.9814,-20.9941
597,0.9669,-25.0175
598,1.0762,-33.2923
599,1.0275,-33.2444
600,1.0202,-35.8152
601,1.1330,-28.1715
602,0.9744,-19.5646
605,0.9784,-14.8801
607,0.9801,-45.0879
608,0.9629,-41.6560
609,1.0587,-32.9296
610,1.0306,-34.4643
612,0.8685,-32.8635
613,0.9799,-28.6532
614,1.0180,-36.2094
615,1.0011,-34.1235
616,1.0314,-35.1616
618,1.0840,-37.2775
620,1.1500,-38.4132
621,1.1075,-42.2005
622,1.2417,-43.7721
623,1.3251,-43.2906
624,1.4178,-43.8706
625,1.1239,-39.5996
626,1.1130,-40.1774
627,1.0606,-41.8132
629,1.1041,-38.5798
633,0.9818,-29.4909
634,0.9818,-29.4920
635,1.0204,-35.8156
636,1.0305,-37.5219
638,0.9668,-22.0681
639,0.9445,-1.5495
640,0.9170,-0.9155
641,1.0535,-36.2094
642,0.9128,-6.5626
643,0.8667,7.5145
645,0.9842,-24.9444
647,0.9784,-4.8760
648,0.9729,-8.7464
649,0.9708,-13.1153
652,0.9786,-12.0455
654,0.9802,-13.2934
655,0.9806,-14.6738
657,0.9397,15.8116
658,0.9389,15.7882
659,0.8213,-0.1736
661,0.9862,-13.9781
663,0.8315,-5.3423
665,0.9751,-21.4785
666,0.8154,-24.3019
667,0.6698,-24.5013
668,0.8927,3.1930
669,0.8968,-9.5290
670,0.9137,-0.4284
671,0.9801,-15.2767
672,0.9786,-14.7929
673,0.9402,-7.0172
674,0.9774,-17.4459
681,0.9921,-46.0375
682,0.9934,-42.8806
683,1.0255,-31.9491
687,1.0246,-33.2046
689,1.0056,-34.8437
692,0.9797,-40.9579
693,1.0188,-33.4990
694,0.9811,-46.1416
695,1.0060,-40.3428
696,1.0012,-40.8659
697,0.9924,-41.1964
698,1.0052,-44.9661
699,0.9722,-37.6978
701,0.9837,-40.5598
703,0.9756,-38.4098
705,1.0674,-35.3169
709,0.9941,-43.9986
712,1.0472,-42.0176
715,1.0094,-48.5635
718,1.0605,-37.3345
719,1.0674,-35.3156
720,0.9909,-50.4689
721,1.0100,-48.5745
722,1.1643,-56.1306
725,1.0123,-43.3980
730,1.0205,-43.3584
732,0.9891,-44.3807
734,0.9892,-44.3594
741,1.5555,-42.9993
742,1.6131,-43.3870
743,1.6131,-43.3870
744,1.0539,-49.6358
746,1.1395,-51.5552
747,1.3063,-50.4406
748,1.2698,-42.3080
749,1.0117,-9.7778
750,0.9990,-5.4933
751,0.9860,5.3564
752,0.9920,5.1017
753,0.9760,4.1036
754,0.9800,-4.8189
755,0.9989,-8.4986
757,0.9578,-24.1947
759,1.0013,-10.0855
760,0.9584,-21.4518
761,1.0148,-22.8750
762,0.9595,-25.8668
763,0.9508,-22.2257
764,1.0028,-24.4281
766,0.9550,-22.0238
767,0.9572,-26.3509
768,1.0132,-23.5223
769,1.0040,-24.3234
770,0.9483,-27.2268
772,0.9888,-24.2766
773,0.9694,-25.5251
775,0.9839,-24.4058
776,0.9819,-24.4367
777,0.9557,-25.6496
778,0.9266,-27.7883
779,0.9474,-27.3594
780,1.0122,-24.3102
781,0.9730,-30.2365
782,0.9741,-12.1317
783,0.9662,-17.8209
784,0.9615,-11.7745
785,0.9822,-11.0935
786,0.9686,-25.5749
787,0.9999,-17.4212
788,1.0000,-17.4468
