Barra,Tensao_pu,Angulo_graus,Correcao_Tensao_QLIM_pu,Tipo_Barra
200,1.0146,-32.1942,0.000000,1
201,1.0146,-32.1942,0.000000,1
202,1.0145,-32.1836,0.000000,1
203,1.0145,-32.1836,0.000000,1
204,0.9911,-24.9000,0.000000,1
205,0.9913,-24.8654,0.000000,1
206,0.9916,-24.8936,0.000000,1
208,1.0050,-15.1099,0.000000,1
209,0.9914,-24.8290,0.000000,1
210,1.0888,2.9038,0.000000,1
213,1.0198,0.9990,0.000000,1
214,1.0429,1.0972,0.000000,1
216,1.0076,1.4700,0.000000,1
217,1.0305,0.8686,0.000000,1
218,0.9815,-7.3911,0.000000,1
219,1.0002,-7.1510,0.000000,1
220,1.0500,1.8443,0.000000,1
221,1.0044,-14.8601,0.000000,1
222,1.0027,-10.6552,0.000000,1
223,0.9643,-9.8771,0.000000,1
224,0.9629,-10.0937,0.000000,1
225,1.0500,0.0032,0.000000,1
226,0.9907,-9.5240,0.000000,1
227,1.0020,-10.4652,0.000000,1
228,1.0015,-10.2261,0.000000,1
229,1.0372,-38.8244,0.000000,1
230,0.9884,-5.3952,0.000000,1
231,1.0322,-3.8649,0.000000,1
232,1.0027,-10.6552,0.000000,1
233,1.0580,-4.4561,0.000000,1
234,1.0018,-6.2570,0.000000,1
235,1.0459,-1.8312,0.000000,1
236,1.0060,-11.5307,0.000000,1
237,0.9981,-8.3719,0.000000,1
238,1.0036,-6.0169,0.000000,1
239,1.0500,-8.0564,0.000000,1
240,1.0106,-6.2515,0.000000,1
241,1.0015,-6.2515,0.000000,1
242,0.9643,-9.8771,0.000000,1
243,0.9629,-10.0937,0.000000,1
244,0.9929,-11.7630,0.000000,1
245,0.9929,-11.7630,0.000000,1
246,0.9563,1.0972,0.000000,1
248,1.0115,-5.5306,0.000000,1
249,1.0254,-10.0302,0.000000,1
250,0.9956,-11.1345,0.000000,2
251,1.0020,-19.8375,0.000000,1
252,1.0022,-17.9541,0.000000,1
253,0.9842,-13.1055,0.000000,2
254,1.0019,-19.8352,0.000000,1
255,0.9505,-11.6149,0.000000,2
256,1.0015,-19.4366,0.000000,1
257,1.0020,-13.1373,0.000000,2
258,1.0500,-19.7415,0.000000,1
260,0.9932,-20.7419,0.000000,1
262,0.9982,-20.2337,0.000000,1
263,0.9711,-26.3401,0.000000,1
266,0.9867,-23.2398,0.000000,1
267,0.9988,-25.1816,0.000000,1
270,0.9874,-26.3220,0.000000,1
271,0.9965,-25.1650,0.000000,1
272,0.9843,-27.0833,0.000000,1
