ID_Barra,Tipo_Barra,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu,P_Carga_pu,Q_Carga_pu,Desvio_Tensao_QLIM_pu,Corte_Reativo_VLIM_pu
11950,1,0.99795138613786,-85.85003137799971,0.0,0.0,0.0,0.0,0.0,0.016669768016979128
45120,1,1.0009699249677915,-55.188782903343025,0.0,0.0,0.0,0.0,0.0,-0.0015116545195297646
1703,1,1.0466312481711817,-82.1279519296981,0.0,0.0,-0.03,0.0,0.0,0.000813244963664967
7685,1,1.0194317386316438,-71.43237473772186,0.0,0.0,0.068,0.035,0.0,-0.007206234632082728
3406,1,1.0066090235642722,-74.1211592463245,0.0,0.0,0.05,0.017,0.0,-0.007956370528128977
47756,1,1.028400396711691,-77.28848634728185,0.0,0.0,0.0,0.0,0.0,-0.01309720770848712
27640,1,1.0430489669644727,-26.630900430621832,0.0,0.0,0.0,0.0,0.0,-0.0427791585829595
1090,1,1.0431176088868563,-27.112974327332907,0.0,0.0,0.0,0.0,0.0,-0.8954600723196227
43631,1,0.9857926428216083,-49.437395373082374,0.0,0.0,0.0,0.0,0.0,-0.014040887800780645
41511,1,0.9499999900173038,-79.8657360624468,0.0,0.0,0.0,0.0,0.0,0.0003264038459976411
40789,1,0.9663718453482477,-58.95883795528056,0.0,0.0,0.0,0.0,0.0,0.031483218386753435
45340,2,0.9627788093407716,-33.71273482703913,0.0,0.0,0.047,-0.040999999999999995,-0.03722119065922838,-0.0038337866353541574
3220,1,0.9840750347700999,-81.54254137174306,0.0,0.0,0.0,0.0,0.0,0.008993164696755327
422,1,1.0253869073565702,-88.09937386412315,0.0,0.0,0.0,0.0,0.0,-0.044935606990337114
46806,1,0.9656293938567115,-48.995264102473755,0.0,0.0,0.0,0.0,0.0,0.006984932012145862
4030,1,1.0116590692117127,-73.95099016566978,0.0,0.0,0.075,0.027999999999999997,0.0,-0.01474409192851577
8060,1,0.9954272245276213,-21.157934729589687,0.0,0.0,8.0,1.97,0.0,-0.0032594992441230897
43893,1,1.00321942693297,-63.91964780250783,0.0,0.0,0.0,0.0,0.0,0.005833956548644729
8660,1,1.035155951016863,-34.1167293641358,0.0,0.0,0.0,0.0,0.0,-0.0356109136277708
47586,1,1.0064282161323947,-14.025119011516475,0.0,0.0,0.0,0.0,0.0,0.001929507416134965
3855,1,1.0011863842776858,-85.61652024196307,0.0,0.0,0.273,0.079,0.0,-0.013344173299307916
