ID_Barra,Tipo_Barra,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu,P_Carga_pu,Q_Carga_pu,Desvio_Tensao_QLIM_pu,Corte_Reativo_VLIM_pu
10,2,1.0391670060869524,-74.42773087443497,0.006571547268878219,2.2649746446809433,0.355,0.8859999999999999,0.0,0.0
11,2,1.04929672368578,-74.37551427877972,0.006744561401277506,5.861667752312914,0.845,2.747,0.0,0.0
12,2,1.0499674390021714,-54.08539278906888,0.09407259295284807,0.71225310765513,0.0,0.0,0.0,0.0
13,2,1.0439349628690053,-54.04821179821917,0.02884342357708459,0.0,0.0,0.0,0.0,0.0
14,2,1.0107682475163786,-75.1826888412731,0.26711012290645963,-0.02002501975445961,0.0,0.0,0.0,0.0
16,2,1.0499673378530887,-60.84386051131293,1.2874481533777467,1.0135291575406011,0.0,0.0,0.0,0.0
17,2,1.0396453450449201,-61.451542950251216,0.033685925206613086,0.0,0.0,0.0,0.0,0.0
18,2,0.9879679250848151,-26.412829919407297,14.126941867235848,4.6041326815934225,0.0,0.0,0.0,0.0
19,2,0.9375910557704784,-19.261196464551528,5.010139573913654,0.0,0.0,0.0,0.0,0.0
20,2,0.7523590851001171,-20.48728381801691,12.85966224844111,-6.394696831434845,0.0,0.0,0.0,0.0
21,2,0.9511787688463607,12.665600938518793,1.690178971692645,-0.15024646973777028,0.0,0.0,0.0,0.0
22,2,1.0498640367907468,-55.18197484259322,0.053869027606862636,0.19151238249619829,0.0,0.0,0.0,0.0
23,2,0.9802829001704214,-27.94962767862517,3.2258016651708514,0.0,0.0,0.0,0.0,0.0
24,2,0.9891827487142377,-54.95269057382701,0.017892838786099777,0.19292287155390692,0.0,0.0,0.0,0.0
28,2,1.0102281757457066,-42.77772340285188,0.8323326494738258,0.3629644481390038,0.0,0.0,0.0,0.0
30,2,1.023560491252625,-81.63883627964772,0.022878170889267486,0.0,0.0,0.0,0.0,0.0
31,2,1.0235592495285373,-81.55999285193155,0.0228698063232329,0.0,0.0,0.0,0.0,0.0
32,2,1.0235814307520195,-81.63595275765996,0.02154911779381885,-0.0010045765801068585,0.0,0.0,0.0,0.0
35,2,0.9517339144616281,-26.14755845164967,3.4607689204900964,0.13419379211540705,0.0,0.0,0.0,0.0
36,2,0.9806986978004161,-49.871677231787,9.945897265305922,4.759525959459292,0.0,0.0,0.0,0.0
37,2,0.9262037775294824,-43.89145511146965,6.732737394126222,0.0,0.0,0.0,0.0,0.0
38,2,1.0484118617472296,-81.69765514175555,0.009756589899935664,0.6096423292202044,0.0,0.0,0.0,0.0
41,2,0.9607617638444528,-92.10067974812146,0.12644630238460197,-0.16801447309456258,0.0,0.0,0.0,0.0
44,2,1.0484008711050745,-81.71592353527893,0.00970433103525086,0.6137467289426308,0.0,0.0,0.0,0.0
47,2,0.9614439354979541,-92.19869790017755,0.12601625795832752,-0.17633069379152505,0.0,0.0,0.0,0.0
48,2,0.910834125509206,-55.117040061588874,0.0019218218411176417,2.1254093320755634,0.0,0.0,0.0,0.0
50,2,1.008140300405844,-57.21676843959787,0.0036147802075091914,2.998024318003019,0.0,0.0,0.0,0.0
52,1,1.0001244237081348,-91.83037291051235,0.0,0.0,0.0,0.0,0.0,0.0
53,2,0.9501142820707957,-91.66332264756116,0.08960304935180213,0.0,0.0,0.0,0.0,0.0
54,2,0.950116290168291,-91.713612468087,0.09325273105176696,0.0,0.0,0.0,0.0,0.0
56,1,0.7578282399797381,-30.551843660579234,0.0,0.0,0.0,0.0,0.0,0.0
57,1,0.7460118638517738,-30.08550860082348,0.0,0.0,0.0,0.0,0.0,0.0
58,1,0.7495337861888409,-30.08549813855782,0.0,0.0,0.0,0.0,0.0,0.0
59,1,0.7583538995503764,-30.55183402842579,0.0,0.0,0.0,0.0,0.0,0.0
60,1,0.9541379914174842,-30.40113684691588,0.0,0.0,0.0,0.0,0.0,0.0
61,1,1.0149184222757157,-28.864100490096018,0.0,0.0,0.0,0.0,0.0,0.0
62,1,0.8113223195975084,-39.99327862520108,0.0,0.0,0.0,0.0,0.0,0.0
63,1,0.8085217004735302,-40.191363941872154,0.0,0.0,0.0,0.0,0.0,0.0
