caso,script,branch_id,f_bus,t_bus,pf_pu,qf_pu,pt_pu,qt_pu,loss_p_pu,loss_q_pu
5busfrank_ctaf.pwf,19,1,1,2,0.1116902694607642,-0.017692985255890123,-0.10950430933894494,0.019794405483494523,0.0021859601218192637,0.0021014202276044003
5busfrank_ctaf.pwf,19,2,1,3,0.35207476466575505,0.11844508486460369,-0.32848723459858886,-0.09576977971716259,0.023587530067166185,0.022675305147441094
5busfrank_ctaf.pwf,19,3,2,3,0.23940430933902884,0.12879558942808475,-0.22635833867922833,-0.11625415907004519,0.01304597065980051,0.012541430358039563
5busfrank_ctaf.pwf,19,4,3,4,0.0509455632788908,0.10902393675312719,-0.04842499648205592,-0.10660085044014836,0.0025205667968348777,0.0024230863129788283
5busfrank_ctaf.pwf,19,5,4,5,0.02452498648297834,0.053600828280251825,-0.023900009999088413,-0.05300002215761747,0.0006249764838899274,0.0006008061226343564
