caso,script,branch_id,f_bus,t_bus,pf_pu,qf_pu,pt_pu,qt_pu,loss_p_pu,loss_q_pu
5busfrank_ctap.pwf,14,1,1,2,-1.1394671634714114e-7,-8.483475445773828e-8,1.139467190116764e-7,8.483475667818433e-8,2.6645352591003757e-15,2.220446049250313e-15
5busfrank_ctap.pwf,14,2,1,3,0.2923368389243041,0.12034924074635696,-0.27738640900386463,-0.10597700424825425,0.01495042992043949,0.014372236498102708
5busfrank_ctap.pwf,14,3,2,3,0.29233696097545897,0.12034933018099861,-0.2773865180347839,-0.10597708116620644,0.014950442940675046,0.014372249014792171
5busfrank_ctap.pwf,14,4,3,4,0.050872927882075925,0.10895408517506261,-0.048421319366317495,-0.10659729024831216,0.00245160851575843,0.0023567949267504495
5busfrank_ctap.pwf,14,5,4,5,0.024521319366384332,0.053597290336376176,-0.023900000005581436,-0.052999999901129254,0.0006213193608028966,0.0005972904352469222
