caso,script,branch_id,f_bus,t_bus,pf_pu,qf_pu,pt_pu,qt_pu,loss_p_pu,loss_q_pu
3bus_DCSC.pwf,19,1,1,3,0.08900480310354812,0.015341926319814098,-0.08754695283984752,-0.013940457005537782,0.0014578502637005997,0.0014014693142763157
3bus_DCSC.pwf,19,2,2,3,0.0878777456060757,0.015719134744494982,-0.08645305715924406,-0.014349544745883729,0.0014246884468316345,0.0013695899986112536
3bus_DCSC.pwf,19,3,1,2,-0.04202225439392405,-0.020821437413900412,0.04202225439392405,0.020807603797578622,0.0,-1.3833616321790032e-5
