caso,script,branch_id,f_bus,t_bus,pf_pu,qf_pu,pt_pu,qt_pu,loss_p_pu,loss_q_pu
3bus_DCSC.pwf,18,1,1,3,0.08900479799016528,0.01534192524714157,-0.08754694784018971,-0.013940456042192025,0.0014578501499755703,0.0014014692049495459
3bus_DCSC.pwf,18,2,2,3,0.0878777404945184,0.015719133848435977,-0.0864530521598104,-0.014349543957611836,0.0014246883347079908,0.001369589890824141
3bus_DCSC.pwf,18,3,1,2,-0.04202225950548166,-0.020821432582494026,0.04202225950548166,0.020807598964211138,0.0,-1.3833618282887983e-5
