ID_Barra,Tipo_Barra,Tensao_Base_kV,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu,P_Carga_pu,Q_Carga_pu,Desvio_Tensao_QLIM_pu,Corte_Reativo_VLIM_pu,Corte_Ativo_DERA_pu,Corte_Reativo_DERA_pu
5002,1,34.5,1.0031252575103047,10.935695916864686,0.0,0.0,0.0,0.0,0.0,9.548367830038037e-10,0.0,0.0
5008,1,34.5,1.0043586751289613,11.002822716848577,0.0,0.0,0.0,0.0,0.0,9.753499978082186e-10,0.0,0.0
5019,1,138.0,1.0033166374310907,9.114421820206069,0.0,0.0,0.0,0.0,0.0,9.013720947118697e-10,0.0,0.0
5020,1,34.5,0.9976578555055257,2.180881830507785,0.0,0.0,0.0,0.0,0.0,-7.454203971022069e-10,0.0,0.0
5034,1,34.5,1.0057521008220398,13.570793485950393,0.0,0.0,0.0,0.0,0.0,-1.729868895102681e-9,0.0,0.0
5035,1,230.0,1.0282048838660982,9.427880770199055,0.0,0.0,0.0,0.0,0.0,-1.7151209350861342e-9,0.0,0.0
5036,1,34.5,0.9833472099963023,11.043449417569773,0.0,0.0,0.0,0.0,0.0,3.037182951155339e-8,0.0,0.0
5041,1,230.0,1.0488874592181874,8.961804586610612,0.0,0.0,0.0,0.0,0.0,2.994134179686441e-8,0.0,0.0
5042,1,34.5,1.0439780506609395,10.63619825206302,0.0,0.0,0.0,0.0,0.0,3.24956033610073e-8,0.0,0.0
5043,1,34.5,0.9842127148452241,10.961650817860189,0.0,0.0,0.0,0.0,0.0,3.0252708011658375e-8,0.0,0.0
5044,1,34.5,1.0429856022544792,11.731455216410517,0.0,0.0,-0.29600000000000004,0.0538,0.0,3.31485450840167e-8,0.0,0.0
5068,1,13.8,1.0346699395782955,7.681835945030145,0.0,0.0,0.0,0.0,0.0,-1.1197895252897501e-7,0.0,0.0
5069,1,991.0,1.034669908517222,7.681835945030145,0.0,0.0,0.0,0.0,0.0,-1.1197363908245741e-7,0.0,0.0
5071,1,230.0,1.0140622126651733,6.276762899233251,0.0,0.0,0.0,0.0,0.0,-1.1108642675512677e-7,0.0,0.0
5073,1,69.0,1.0350159114147972,7.565999117923459,0.0,0.0,0.032,0.015,0.0,-1.1191094294550143e-7,-8.181851331521981e-9,-3.835242811650928e-9
5075,1,34.5,1.027560427808884,9.988945164311533,0.0,0.0,-0.12,0.044500000000000005,0.0,-1.1420286038022808e-7,0.0,0.0
5078,1,34.5,0.9860373923324485,12.618381211637276,0.0,0.0,-0.315,0.0463,0.0,3.052088627159895e-8,0.0,0.0
5079,1,34.5,1.0285783990672606,10.176197537751499,0.0,0.0,-0.1,0.038,0.0,-1.1354802088309688e-7,0.0,0.0
5081,1,230.0,1.0296563954800133,-4.590478828053355,0.0,0.0,0.0,0.0,0.0,-1.4579066908630136e-9,0.0,0.0
5083,1,69.0,1.01281186133883,-7.340823055072465,0.0,0.0,1.7310000000000003,0.37799999999999995,0.0,-1.486973377024413e-9,-8.181818109222799e-9,-1.7866708522739553e-9
5124,1,34.5,1.0044821680989737,11.383893902388431,0.0,0.0,-0.132,0.0025700000000000002,0.0,9.613444998709732e-10,0.0,0.0
5126,1,34.5,0.9821281644220475,12.272754934808273,0.0,0.0,-0.327,0.0604,0.0,3.059833727964889e-8,0.0,0.0
5127,1,34.5,1.0076579598858726,13.014754678701456,0.0,0.0,-0.218,0.0168,0.0,1.0241046156460864e-9,0.0,0.0
5128,1,230.0,1.020504409132694,7.221539278208554,0.0,0.0,0.0,0.0,0.0,6.98470206909399e-10,0.0,0.0
5168,1,138.0,0.99983893853846,8.017814835206632,0.0,0.0,0.0,0.0,0.0,8.511417283061926e-10,0.0,0.0
5169,1,138.0,0.9809419216833366,8.43426157157032,0.0,0.0,0.0,0.0,0.0,8.122591097101605e-10,0.0,0.0
5170,1,34.5,1.0052365282541131,14.424186098264277,0.0,0.0,-0.792,0.0978,0.0,-1.7255696258597229e-9,0.0,0.0
5176,1,500.0,1.0984247845077844,-3.7351377655783513,0.0,0.0,1.892,-0.215,0.0,3.8469084495530333e-10,-9.090909088016336e-9,1.0330578509109474e-9
5200,1,500.0,1.0969255285548876,-4.332329294775041,0.0,0.0,15.36,-4.89,0.0,1.4274705080174738e-10,-9.09090624409644e-9,2.89417523005414e-9
5202,1,230.0,0.9881601550624499,-5.594781649502875,0.0,0.0,0.0,0.0,0.0,-9.70055769342559e-10,0.0,0.0
5211,1,230.0,0.9851052532498146,-13.812785410838167,0.0,0.0,0.0,0.0,0.0,1.8194994472692815e-10,0.0,0.0
5212,1,230.0,0.984998343004936,-13.881878280326989,0.0,0.0,0.9878,0.07346,0.0,3.0933821524592105e-10,-8.181805015514243e-9,-6.084585912529625e-10
5213,1,69.0,1.0075551668264593,-19.08183704697128,0.0,0.0,2.952,0.971,0.0,2.1522480414722767e-10,-8.181805049143451e-9,-2.6912373654194753e-9
5214,1,991.0,1.010170677439822,-19.30993580962728,0.0,0.0,0.0,0.0,0.0,2.168049715438632e-10,0.0,0.0
5215,1,13.8,1.0101706774114687,-19.30993580962728,0.0,0.0,0.0,0.0,0.0,2.136647963084194e-10,0.0,0.0
5216,1,230.0,0.9927951077939701,-6.522568585790147,0.0,0.0,1.536,0.07609,0.0,6.749753887228315e-9,-8.181795475225965e-9,-4.053078240299112e-10
5218,2,992.0,0.9851053123560961,-13.812787129710587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5219,2,992.0,0.9851053123560961,-13.812787129710587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5220,2,992.0,0.9927568300641737,-6.347832797818537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
