caso,script,branch_id,f_bus,t_bus,pf_pu,qf_pu,pt_pu,qt_pu,loss_p_pu,loss_q_pu
3busfrank.pwf,15,1,1,2,0.07255806475402306,-0.07941418104362637,-0.0705800505205222,0.08131569748909069,0.0019780142335008577,0.001901516445464324
3busfrank.pwf,15,2,1,3,0.2686194094483906,0.08890249623515063,-0.2549338160349942,-0.07574617991509032,0.013685593413396369,0.013156316320060313
3busfrank.pwf,15,3,2,3,0.20048005072091,0.16342626660586757,-0.18906618366554637,-0.1524538198233626,0.011413867055363625,0.010972446782504974
