ID_Linha,Barra_De,Barra_Para,P_Fluxo_De_Para_pu,Q_Fluxo_De_Para_pu,P_Fluxo_Para_De_pu,Q_Fluxo_Para_De_pu,Perda_Ativa_pu
1,5002,6052,-0.20918362254724995,-0.0011174237469265408,0.2099999999729649,-0.026499999996893273,0.0008163774257149425
2,5926,5380,2.5229987361952184,-1.5165138565828138,-2.514191335014694,-2.1746173961111643,0.008807401180524366
3,46201,46202,1.2569999996580474,-0.15699999997474068,-1.2544287389973454,0.20749642345487773,0.0025712606607020128
4,8143,48115,-0.15374463167729796,0.027914414204187023,0.15399999997589522,-0.018499999998656227,0.00025536829859726384
5,6141,8205,-0.31359464808260756,0.010649530850234235,0.31379722581095787,-0.030592965419974028,0.00020257772835030607
6,46738,46739,-0.3227334943887873,0.08079432096972802,0.3239999999600829,-0.07379999999415418,0.0012665055712955953
7,5373,5374,-0.19021542574560843,0.008631048076557138,0.1919999999342071,-0.016299999982672633,0.0017845741885986754
8,6143,5814,-0.25762734915950214,-0.0040327645903544505,0.2581820641225444,-0.035697849754308286,0.0005547149630422687
9,45276,45278,-0.25226616947862257,0.10300508891804146,0.2529999999831525,-0.09999999999648697,0.0007338305045299087
10,5073,8089,-0.17949739238182036,0.03354024626731417,0.1798957202760509,-0.03280245317182534,0.0003983278942305546
11,8792,8938,-0.3203496037433863,0.008327538075467746,0.32199999993248396,-0.07789999998799815,0.0016503961890976804
12,5351,45092,-1.3812738200873023,0.06964283917298897,1.3837053831664514,-0.06889529706481679,0.002431563079149157
13,5073,8087,-0.11980348828534142,0.022950737532528805,0.11994401305510331,-0.022990986497507478,0.0001405247697618961
14,6101,5041,-0.9319572166104633,0.09510154840837284,0.9348836198727752,-0.1560871929002874,0.002926403262311972
15,8441,8442,-0.300181690245821,0.2183755705318559,0.30199999983794634,-0.20799999994803237,0.0018183095921253667
16,5462,5461,0.25037581638398726,-0.010830664820139758,-0.25019104976820755,-0.0606454371342204,0.00018476661577970788
17,5128,6141,-0.3815388999067014,-0.6631104012927748,0.3818821242435785,0.6440985048717406,0.0003432243368770571
18,5176,5318,-0.13067230996112975,-1.4580570753047555,0.13070466453375082,-1.2134055820795266,3.2354572621073885e-5
19,5383,8016,-0.4825045768007913,0.035271581571746854,0.48542071919625285,-0.021316677503765466,0.002916142395461563
20,5271,5222,-0.28322894034896495,-0.009358218831865717,0.28322894034896495,0.04798479570918612,0.0
21,5461,5351,0.09066093671583025,0.35239962082069826,-0.09023530488515902,-0.38167511985463437,0.0004256318306712359
22,5453,5473,-0.19282446380951163,0.2743916419959065,0.19429263327490626,-0.27007507006349996,0.0014681694653946309
23,8747,5461,0.6662587387220967,-0.1225530831003941,-0.6638934045856589,-0.005021227599025055,0.002365334136437802
24,6149,6150,-0.4360683107923393,-0.04668297461133545,0.4369999999662564,-0.004619999997619605,0.0009316891739170607
25,44594,5262,0.27491716600665916,0.03181395857578374,-0.2748314720959735,-0.047506449322570546,8.569391068569132e-5
26,45376,45377,-0.5386666351124525,-0.0001279204242092477,0.5389999997997101,0.017709999999194946,0.00033336468725764234
27,5216,8446,0.15000023906465726,0.04400026651567674,-0.1499999995037528,-0.044000026954772294,2.395609044469893e-7
