caso,script,bus_id,vm_pu,va_rad,pd_pu,qd_pu,pg_pu,qg_pu,bus_type
3bus_DCER.pwf,15,1,1.029,6.416030369612266e-38,0.0,0.0,0.20318521417433855,0.19037901455928388,3
3bus_DCER.pwf,15,2,1.03,-0.009640174985122993,0.0,0.0,0.12990000000000002,0.2855422724161699,2
3bus_DCER.pwf,15,3,0.9601581630554007,0.009434879355215281,0.3039,0.05329,0.0,0.0,1
