caso,script,bus_id,vm_pu,va_rad,pd_pu,qd_pu,pg_pu,qg_pu,bus_type
5busfrank_cphs.pwf,19,1,1.0290000003045632,0.0,0.0,0.0,0.4725087309552559,-0.1800267692438394,3
5busfrank_cphs.pwf,19,2,1.0403082112563762,-0.05111361469614764,0.0,0.0,0.12990000000000002,0.4060091762758989,2
5busfrank_cphs.pwf,19,3,0.9624580390798423,-0.05491593317118115,0.5039,0.10300000000000001,0.0,0.0,1
5busfrank_cphs.pwf,19,4,0.9330775649487574,-0.04281293888981943,0.0239,0.053,0.0,0.0,1
5busfrank_cphs.pwf,19,5,0.9183056431831937,-0.03647059637618479,0.0239,0.053,0.0,0.0,1
