ID_Barra,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu,P_Carga_pu,Q_Carga_pu,Desvio_Tensao_QLIM_pu,Corte_Reativo_VLIM_pu,Falta_Ativa_PLIM_pu
11950,0.6151551356506263,-67.33717940141891,0.0,0.0,0.0,0.0,0.0,-0.02583332230590911,0.004229201688989445
45120,0.6036084635740238,-41.206254549687486,0.0,0.0,0.0,0.0,0.0,0.004289749752452136,-0.0009251561515350369
1703,0.6534227919495212,-45.264975736233254,0.0,0.0,-0.03,0.0,0.0,-0.048076477660383914,0.003217843214286962
7685,0.5942961725432071,-44.08853915342886,0.0,0.0,0.068,0.035,0.0,-0.013405760041522684,0.030209527577177864
3406,0.5958183236494434,-58.22613081105569,0.0,0.0,0.05,0.017,0.0,-0.006488694994684326,0.02428577478083154
47756,0.605284470204334,-53.40746062680788,0.0,0.0,0.0,0.0,0.0,5.0721369533189616e-5,0.003222548425255431
27640,0.6747107644603776,-9.51672745774305,0.0,0.0,0.0,0.0,0.0,-0.0057512340557256654,0.01793443507639165
1090,0.6920796858285442,-13.41747779040302,0.0,0.0,0.0,0.0,0.0,-0.07838906010822422,-0.2272207702631795
43631,0.6283248680522432,-35.922937587339234,0.0,0.0,0.0,0.0,0.0,0.003190766066978371,0.001093541027683527
41511,0.5879242973891202,-60.1990890849706,0.0,0.0,0.0,0.0,0.0,-0.007656810801361696,0.004683759502594197
40789,0.589885371809003,-46.30662274810803,0.0,0.0,0.0,0.0,0.0,0.0024092729574375664,0.0228525675717745
45340,0.6569866077300955,-22.04883868034753,0.0,0.0,0.047,-0.040999999999999995,-0.34330778725910693,-0.018484311344371944,0.00972416597124535
3220,0.6185245582090688,-61.72331212446334,0.0,0.0,0.0,0.0,0.0,-0.03823087957176631,-0.009749792049591002
422,0.6237312649829692,-72.91810506091417,0.0,0.0,0.0,0.0,0.0,-0.2283728295580178,0.34021488971694736
46806,0.5985923098150202,-43.704923095776266,0.0,0.0,0.0,0.0,0.0,0.03613557122960942,0.01836678620859352
4030,0.6105855404894805,-60.474794371997106,0.0,0.0,0.075,0.027999999999999997,0.0,-0.01643862489507552,0.057741553522598285
8060,0.7743332202380725,-24.063257432471126,0.0,0.0,8.0,1.97,0.0,-0.7887210818822352,0.15012267064836726
43893,0.6654454761134266,-41.67963865850631,0.0,0.0,0.0,0.0,0.0,-0.007391029256311608,0.0018046209139725993
8660,0.5772203295496796,-26.646871049804957,0.0,0.0,0.0,0.0,0.0,0.02431622922166679,-0.01610468927488168
47586,0.6842761008032235,-18.835284540951474,0.0,0.0,0.0,0.0,0.0,0.010167480442303482,-0.0028276736899740963
3855,0.6157412253950945,-67.64302406958271,0.0,0.0,0.273,0.079,0.0,-0.034907325945697024,0.0862758681896389
