ID_Barra,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu
1,1.029,2.758691436281349e-33,0.1517741555878847,0.026533959347987933
2,1.03,5.2319982234079137e-33,0.16079406060588733,0.035089021965360734
3,0.9970372619666746,-1.2067217182225731,0.0,0.0
