caso,script,branch_id,f_bus,t_bus,pf_pu,qf_pu,pt_pu,qt_pu,loss_p_pu,loss_q_pu
5busfrank_ctaf.pwf,18,1,1,2,0.1116902166181207,-0.017691595575150876,-0.10950426691970536,0.019793005782467565,0.002185949698415346,0.0021014102073166896
5busfrank_ctaf.pwf,18,2,1,3,0.3520747724574867,0.1184457342932639,-0.3284872151525032,-0.09577040296140106,0.02358755730498352,0.022675331331862836
5busfrank_ctaf.pwf,18,3,2,3,0.23940426691971023,0.12879488919244897,-0.22635832572955467,-0.11625348716434424,0.013045941190155563,0.012541402028104734
5busfrank_ctaf.pwf,18,4,3,4,0.05094554088206575,0.10902389012672958,-0.04842497598515198,-0.10660080564019464,0.0025205648969137684,0.0024230844865349432
5busfrank_ctaf.pwf,18,5,4,5,0.024524975985152325,0.053600805641575267,-0.02390000000000078,-0.05299999999839117,0.0006249759851515435,0.0006008056431840991
