ID_Barra,Tipo_Barra,Vm_Orig_pu,Vm_Otim_pu,Delta_Vm_pu,Delta_Vm_pct,Va_Orig_graus,Va_Otim_graus,Delta_Va_graus,Pg_Orig_pu,Pg_Otim_pu,Delta_Pg_pu,Delta_Pg_pct,Qg_Orig_pu,Qg_Otim_pu,Delta_Qg_pu,Delta_Qg_pct,Pd_Orig_pu,Qd_Orig_pu,Slack_QLIM_pu,Slack_VLIM_pu
1,3,1.029,1.1000000109998596,0.07100001099985964,6.899903887255554,0.0,0.0,0.0,0.0,0.6514313442363666,0.6514313442363666,0.0,0.0,0.7722517967266989,0.7722517967266989,0.0,0.0,0.0,0.07100001099985966,0.0
2,2,1.03,1.066783533083026,0.036783533083025954,3.571216804177277,0.0,-1.2763111482029503,-1.2763111482029503,0.12990000000000002,0.12990000000000002,0.0,0.0,0.0,0.7040000099971712,0.7040000099971712,0.0,0.0,0.0,0.036783533083025954,0.0
3,1,0.99,0.8999999900001541,-0.09000000999984592,-9.090910100994538,0.77,3.4245354065971743,2.6545354065971742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5039,1.003,0.0,-0.4698370720377039
4,1,1.03,0.8999999900012539,-0.13000000999874617,-12.621360194053025,0.77,2.1785253442779977,1.4085253442779977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0239,0.503,0.0,-0.5292312104295863
5,1,1.03,0.8999999900083686,-0.13000000999163142,-12.621360193362273,0.77,1.5626040429221364,0.7926040429221364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0239,0.503,0.0,-0.5281304661004094
