ID_Linha,De,Para,Pf_pu,Qf_pu,Pt_pu,Qt_pu,Perda_pu,Tap
1,3,4,0.04916865149830144,-0.05004595630510863,-0.04806876273322928,0.05110330793561987,0.0010998887650721656,1.0
2,1,2,0.17789633988414866,0.026609309508434167,-0.17305643541854754,-0.02195658366857474,0.004839904465601119,1.0
3,4,5,0.024168762733230143,-0.024872097506033388,-0.02389999999999919,0.02513046610040939,0.0002687627332309539,1.0
4,1,3,0.47353500435221857,0.7819424879442564,-0.34852990658892086,-0.6617718414756716,0.1250050977632977,1.0
5,2,3,0.3029564354185468,0.7259565936657437,-0.20453874490937965,-0.6313451121817932,0.09841769050916713,1.0
