ID_Barra,Tipo_Barra,Vm_pu,Va_graus,Pg_pu,Qg_pu,Pd_pu,Qd_pu,Slack_QLIM_pu,Slack_VLIM_pu
1,3,1.0290000000232997,0.0,0.19202665130012828,-0.2011613262316961,0.0,0.0,0.0,0.0
2,2,1.030000000045062,-0.4561055130185764,0.12990000000000002,0.0,0.0,0.0,0.0,0.0
3,1,1.0299999999184075,-3.3203277903014454,0.0,0.0,0.3039,0.05329,0.0,-5.5920026762835165e-12
