ID_Barra,Tipo_Barra,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu,P_Carga_pu,Q_Carga_pu,Desvio_Tensao_QLIM_pu,Corte_Reativo_VLIM_pu,Folga_Ativa_SLP_pu
84,1,1.050000010499997,-14.625687644879191,0.0,0.0,0.0,0.0,0.0,0.0001777155030447573,3.217503809771697e-5
87,1,1.062539996667825,-13.896783907899104,0.0,0.0,0.0,0.0,0.0,0.00016254220324531278,4.141447873032844e-5
182,1,1.0310649006587904,-14.178542977830812,0.0,0.0,0.0,0.0,0.0,0.0001605985762313947,3.7849761138557736e-5
607,1,1.0221548350372,-26.970408953049276,0.0,0.0,0.0,0.0,0.0,-0.026650303788436656,0.0059778068680386865
1391,1,1.0454104527271586,-15.021072361558913,0.0,0.0,0.0,0.0,0.0,0.0001787984773724722,2.9456579554536205e-5
1392,1,1.044908142507634,-15.051426505661565,0.0,0.0,0.035,0.013999999999999999,0.0,0.00017888083118053187,2.9247007648374968e-5
1394,1,1.0452022634905387,-15.022830624010584,0.0,0.0,0.038,0.013999999999999999,0.0,0.0001788029772273527,2.9444551602176375e-5
1395,1,1.0449662384101115,-15.041716603616225,0.0,0.0,0.046,0.018000000000000002,0.0,0.00017885469639432124,2.9313992826891702e-5
1706,1,1.0407213653467784,-14.419552268374987,0.0,0.0,0.114,0.046,0.0,0.0001698242258028695,3.5376724715598644e-5
1729,1,1.0449664662661933,-15.057310728703538,0.0,0.0,0.039,0.016,0.0,0.00017889467868623,2.9207181761601304e-5
1775,1,1.044908474010337,-15.060408254157425,0.0,0.0,0.043,0.016,0.0,0.00017890251311203573,2.9186017069587922e-5
1777,1,1.0446377843379877,-15.07389399796265,0.0,0.0,0.043,0.018000000000000002,0.0,0.0001789449114678541,2.9087463179059202e-5
1780,1,1.047432342958833,-14.839424724922896,0.0,0.0,0.184,0.076,0.0,0.00017831225147321993,3.070446857293874e-5
1788,1,1.0417895949589953,-14.523610611812249,0.0,0.0,0.124,0.052000000000000005,0.0,0.00017174661007587718,3.428228208574781e-5
1797,1,1.0433859566428914,-14.538565347875304,0.0,0.0,0.025,0.009000000000000001,0.0,0.00017273753993720243,3.3946339873613956e-5
2537,1,1.0500000104999567,24.833882876151517,0.0,0.0,0.0,0.0,0.0,0.00010075372857557448,1.3916411055275474e-5
2615,1,0.9527865886111293,10.496285032584263,0.0,0.0,0.079,0.032,0.0,-0.0002213900633066693,0.00020132265423674245
2686,1,0.9560737467233884,10.88591109336134,0.0,0.0,0.04,0.016,0.0,0.0001425136887479164,-0.00022889189126552671
2687,1,1.0456222937205533,17.286216956318416,0.0,0.0,0.029000000000000005,0.005,0.0,0.005601956637280567,-0.0038384348080492884
2688,1,0.9499999900000001,10.634691464097639,0.0,0.0,0.03899999999999999,0.036000000000000004,0.0,-0.0013918457788513316,0.0010663809826807946
2689,1,1.000867041106543,16.390218323790602,0.0,0.0,0.09299999999999999,0.024,0.0,0.004601424106298739,-0.0024694701295676687
2690,1,1.0500000104999998,21.641747144246075,0.0,0.0,0.0,0.0,0.0,0.009238638708517861,-0.003094074800089081
2696,2,0.998052503397152,25.218159653557077,0.5,0.0,0.0,0.0,0.0,0.0,-0.0019346906237941793
2916,1,1.0090964684512704,17.61719616758333,0.0,0.0,-0.12,0.0,0.0,0.004615221802435166,-0.0022349349257480985
3071,1,0.956382022037482,11.109156073599928,0.0,0.0,0.0,0.0,0.0,0.0005402961327654103,-0.00025660484585156426
3096,1,0.9627766598593688,12.285953691460369,0.0,0.0,0.045,0.004,0.0,0.0015623061949163366,-0.0008269594614243496
3281,1,1.024930768760193,-14.761116931791157,0.0,0.0,0.0,0.0,0.0,0.0001351632235353867,3.5238173377993356e-5
3282,1,1.024106826603094,-14.781636583387904,0.0,0.0,0.0,0.0,0.0,0.00013360506994976228,3.6269912018081086e-5
3404,1,1.0017172206926945,14.423820650687386,0.0,0.0,0.016,0.004,0.0,0.0031317968469875297,-0.0024380789641259277
3584,1,0.9908031359709661,-16.09571567054979,0.0,0.0,0.0,0.0,0.0,0.0001818370890537124,2.2801451304468718e-5
3592,1,0.9907778822533828,-16.095229125569496,0.0,0.0,0.057,0.023,0.0,0.00018182646315058408,2.280970242872892e-5
3630,1,0.9589491006052269,24.82622633853016,0.0,0.0,0.0,0.0,0.0,0.00010076454358111031,1.3889266645443518e-5
4469,1,0.9728625682109601,32.111100653628526,0.0,0.0,0.11600000000000002,0.048,0.0,0.00031905744982481816,2.583454629778528e-5
4471,1,0.949999990000016,33.73572112509076,0.0,0.0,0.0,0.0,0.0,0.00011710726275981102,6.320579646793912e-5
4473,1,0.9783459529592547,34.91023913014158,0.0,0.0,0.0,0.0,0.0,0.0003231688654984498,5.595327816415323e-5
4475,1,0.9781461834414529,34.87470824339595,0.0,0.0,0.0,0.0,0.0,0.00032312956917680694,5.5594016480944454e-5
4477,1,0.9779905217451668,34.84857773313295,0.0,0.0,0.0,0.0,0.0,0.0003231057213949775,5.532889057148463e-5
4959,1,0.9607498845008638,23.09732196732461,0.0,0.0,0.047,0.01,0.0,0.00012098935476395625,-7.510560622673364e-6
4963,1,0.9726602730185947,23.564866039285366,0.0,0.0,0.154,0.036000000000000004,0.0,0.0003071499134112617,-6.995576083164285e-5
4970,1,1.0500000104999998,27.431152866167103,0.0,0.0,-0.151,0.0,0.0,0.0015824195634773287,-0.0004910521105571273
4971,1,1.0499290427010564,27.313355846505157,0.0,0.0,-0.303,0.0,0.0,0.0011598600901125107,-0.0003239742404231199
4973,1,0.9742993252161366,27.08388417332931,0.0,0.0,0.176,0.054000000000000006,0.0,0.0004770673000643962,-8.452224641931916e-5
4982,1,0.9499999900000003,12.314313517657421,0.0,0.0,0.183,0.087,0.0,-0.014168622241156996,0.009587698100899014
4983,1,0.9905049897314285,24.61953607988378,0.0,0.0,0.255,0.09,0.0,0.0006972051222532532,-0.000221218651574479
4990,1,1.0178264664706598,26.64664851521917,0.0,0.0,-0.10800000000000001,0.0,0.0,0.0008914291409577622,-0.00024548016594840266
4992,1,1.0390672452533976,24.379030177798903,0.0,0.0,0.039,0.0,0.0,-0.00106343373619314,0.0005890897574195156
4994,1,1.0005811574791097,17.24061480018774,0.0,0.0,0.14,0.028999999999999998,0.0,-0.006990838405417335,0.004280711546731374
4997,1,1.014654601452812,26.432599950946585,0.0,0.0,-0.09300000000000001,0.0,0.0,0.0008601141926313448,-0.00023882592375113246
5037,1,1.0090660529213589,68.14985597426153,0.0,0.0,0.0,0.0,0.0,-0.00048625939945422405,-7.717928849617785e-5
5038,1,0.9976342441901398,73.90166765707009,0.0,0.0,0.0,0.0,0.0,-0.0005164595426119904,-0.00017817980490338165
5039,1,1.0004367206989866,72.81769114654111,0.0,0.0,0.0,0.0,0.0,-0.0005103360759249156,-0.00015855112563721032
5040,1,1.004099975103824,76.7790802177645,0.0,0.0,-0.7123,0.053399999999999996,0.0,-0.0005198175383082623,-0.00022414755125367707
5094,1,0.9237908507647148,48.933533188740874,0.0,0.0,0.0,0.0,0.0,0.000710075748813192,-0.00010950010534972523
5095,1,0.9235780860506092,48.932118992091844,0.0,0.0,0.0,0.0,0.0,0.0007104029852099156,-0.00010955056283199667
5096,1,1.0359304468975017,50.90093796991382,0.0,0.0,0.0,0.0,0.0,0.0007187843930842937,-5.841935787170731e-5
5097,1,1.035853564625533,50.900592367887896,0.0,0.0,0.0,0.0,0.0,0.0007188910990648331,-5.842803071213116e-5
5298,1,1.0332224569552841,77.40825290895819,0.0,0.0,0.0,0.0,0.0,-0.00011430557662726628,-9.275824134215501e-5
5303,1,1.0316565040630328,76.91892244370165,0.0,0.0,0.0,0.0,0.0,-0.00026938196478244595,-9.309574665840107e-5
5305,1,1.0333310314413076,77.53497034624515,0.0,0.0,0.0,0.0,0.0,-0.0002713013993623463,-9.836788422527122e-5
5307,1,1.0249416196656516,82.38180682230927,0.0,0.0,0.0,0.0,0.0,-0.00027928574123901704,-0.00014556774524479788
5309,1,1.02978764907134,82.83776557214733,0.0,0.0,0.0,0.0,0.0,-0.0002814069650884728,-0.0001496682872237145
5322,1,1.001701971183836,77.81746938991004,0.0,0.0,-0.8741,0.0525,0.0,-0.0005249071329972678,-0.00024381537835673945
5325,1,1.0361678135618322,66.3214006565172,0.0,0.0,0.0,0.0,0.0,-0.00017559000736869888,-8.171926391880672e-6
5327,1,1.0500000104992804,75.25513524026796,0.0,0.0,0.0,0.0,0.0,-0.00026837211433653537,-7.747573074486158e-5
