Caso,Formulacao,Status,Tempo_s,Vmin_pu,Vmax_pu,Pg_total_MW,Qg_total_MVAr,Slacks,N_Barras,N_CSCA
300bus,(15) PM,LOCALLY_SOLVED,7.627995042,0.8495152230304616,1.1955747529657261,23047.62689043383,8925.800239458338,0.0,300,0
300bus,(16) QLIM+VLIM,LOCALLY_SOLVED,0.8252155,0.8999999900002237,1.1000000109989598,23036.41529817373,8674.069871242762,396742.942976384,300,0
300bus,(17) CSCA,LOCALLY_SOLVED,0.359146292,0.8999999900002237,1.1000000109989598,23036.415298173735,8674.069871242873,396742.94297644164,300,0
3bus,(15) PM,LOCALLY_SOLVED,0.1586445,0.9970372619666746,1.03,31.256821619377206,6.162298131334866,0.0,3,0
3bus,(16) QLIM+VLIM,LOCALLY_SOLVED,0.00199625,0.9970369891564238,1.0299999999943505,31.257073895775868,6.1625406511821375,6.45022917377376e-17,3,0
3bus,(17) CSCA,LOCALLY_SOLVED,0.001611834,0.9970369891564238,1.0299999999943505,31.257073895775868,6.1625406511821375,6.45022917377376e-17,3,0
3bus_DBSH,(15) PM,LOCALLY_SOLVED,0.002751292,0.9601700846236046,1.03,33.266114059458054,47.55234123848121,0.0,3,0
3bus_DBSH,(16) QLIM+VLIM,LOCALLY_SOLVED,0.00191225,0.9601700845545259,1.029999999999393,33.26611410078247,47.55234127511875,8.59289616845287e-18,3,0
3bus_DBSH,(17) CSCA,LOCALLY_SOLVED,0.002191333,1.0289999999978745,1.0299999999961535,32.163143734338654,-32.27391950097815,1.5709431649930915e-16,3,1
3bus_DCER,(15) PM,LOCALLY_SOLVED,0.00237525,0.9601700846236046,1.03,33.266114059458054,47.55234123848121,0.0,3,0
3bus_DCER,(16) QLIM+VLIM,LOCALLY_SOLVED,0.001583792,0.9601700845545259,1.029999999999393,33.26611410078247,47.55234127511875,8.59289616845287e-18,3,0
3bus_DCER,(17) CSCA,LOCALLY_SOLVED,0.002177541,1.0289999999978745,1.0299999999961535,32.163143734338654,-32.27391950097815,1.5709431649930915e-16,3,1
3bus_DCSC,(15) PM,LOCALLY_SOLVED,0.003604333,1.029,1.03,30.96399780952126,5.865100412076874,0.0,3,0
