ID_Linha,De,Para,Pf_pu,Qf_pu,Pt_pu,Qt_pu,Perda_pu,Tap
1,3,4,0.03844027939424509,0.2679435898569479,-0.02390000000000024,-0.2539656417099939,0.014540279394244848,1.0
2,1,2,0.1464224021148403,-0.10416400391013225,-0.1415922961132154,0.10880731023213663,0.004830106001624923,1.0
3,1,3,0.3973546396565306,0.5044360711618645,-0.33567306305725686,-0.44513996990068394,0.06168157659927376,1.0
4,2,3,0.27149229611321546,0.5951926997634707,-0.20666721633698815,-0.5328746672714075,0.06482507977622731,1.0
