ID_Barra,Tipo_Barra,Vm_pu,Va_graus,Pg_pu,Qg_pu,Pd_pu,Qd_pu
1,3,1.029,-3.448364295351686e-35,0.08834832512093013,0.06659149099266201,0.0,0.0
2,3,1.03,0.0,0.09139165297428248,-0.25389159691170926,0.0,0.0
3,2,1.03,-1.7603370483901462,0.12990000000000002,0.24595111003981598,0.3039,0.05329
