caso,script,termination_status,solve_time_s,objective,iteracoes,p_loss_total_pu
3bus_DCER.pwf,16,LOCALLY_SOLVED,2.498134136199951,1.301414633034177e-17,NaN,0.029185215729453873
3bus_DCSC.pwf,16,LOCALLY_SOLVED,2.7038819789886475,226.19952066371886,NaN,0.0027112209969759604
3bus_DCline.pwf,16,LOCALLY_SOLVED,2.5027689933776855,1.773219906791956e7,NaN,6.134444049100388
3bus_DSHL.pwf,16,LOCALLY_SOLVED,2.660904884338379,4.207423812243384e6,NaN,0.17738749648675878
3bus_corrections.pwf,16,OTHER_ERROR,NaN,NaN,NaN,NaN
3bus_shunt_fields.pwf,16,LOCALLY_SOLVED,2.9426708221435547,1106.2828008748397,NaN,0.0262443949563389
3busfrank.pwf,16,LOCALLY_SOLVED,3.315673828125,2.5314990548749786e-17,NaN,0.02707747476161604
3busfrank_continuous_shunt.pwf,16,LOCALLY_SOLVED,4.109399080276489,1.141181153813731e-16,NaN,0.018892880663200273
3busfrank_qlim.pwf,16,LOCALLY_SOLVED,3.726452112197876,792.2208942714997,NaN,0.14665045142878433
4busfrank_vlim.pwf,16,LOCALLY_SOLVED,3.8600921630859375,655885.8455700449,NaN,0.14587704177137087
500bus.pwf,16,LOCALLY_SOLVED,4.487036943435669,803.2939014261319,NaN,0.8636592472819676
5busfrank.pwf,16,LOCALLY_SOLVED,3.3421640396118164,5.207695891113025e-16,NaN,0.03129671298052683
5busfrank_cphs.pwf,16,LOCALLY_SOLVED,3.3824710845947266,9.660950253178973e-15,NaN,0.045905898969778924
5busfrank_csca.pwf,16,LOCALLY_SOLVED,4.69522500038147,786148.3674452136,NaN,0.22963134423636908
5busfrank_ctaf.pwf,16,LOCALLY_SOLVED,4.058055877685547,9.660950253121514e-15,NaN,0.0459058989697807
5busfrank_ctap.pwf,16,LOCALLY_SOLVED,3.8140499591827393,9.660950253121514e-15,NaN,0.0459058989697807
9bus.pwf,16,LOCALLY_SOLVED,4.670248985290527,2.6279705212158094e-14,NaN,0.02491392370541723
9bus_transformer_fields.pwf,16,LOCALLY_SOLVED,3.1479830741882324,4.530796300123703e-15,NaN,0.024913923702485574
test_defaults.pwf,16,OTHER_ERROR,NaN,NaN,NaN,NaN
test_line_shunt.pwf,16,OTHER_ERROR,NaN,NaN,NaN,NaN
test_system.pwf,16,LOCALLY_SOLVED,2.718552827835083,9.595442317104548e-16,NaN,0.002285538292031264
01 MAXIMA NOTURNA_DEZ25.PWF,17,LOCALLY_INFEASIBLE,NaN,NaN,NaN,NaN
300bus.pwf,17,LOCALLY_SOLVED,4.456186056137085,206831.94994417013,NaN,5.673279082583872
3bus.pwf,17,LOCALLY_SOLVED,2.4217708110809326,6.9706177368152715e-6,NaN,0.009278048167097097
3bus_DBSH.pwf,17,LOCALLY_SOLVED,2.757256031036377,1.0105053833979774e-5,NaN,0.030138848494866366
3bus_DCER.pwf,17,LOCALLY_SOLVED,2.9630889892578125,1.0423654755521204e-5,NaN,0.030322268926949114
3bus_DCSC.pwf,17,LOCALLY_SOLVED,3.2026169300079346,9.052577142498913e-6,NaN,0.002882538484683561
3bus_DCline.pwf,17,LOCALLY_SOLVED,2.910545825958252,1.7722258064893786e7,NaN,6.134444049100379
3bus_DSHL.pwf,17,LOCALLY_SOLVED,2.717482089996338,4.207140539791801e6,NaN,0.17741921868352417
3bus_corrections.pwf,17,OTHER_ERROR,NaN,NaN,NaN,NaN
3bus_shunt_fields.pwf,17,LOCALLY_SOLVED,3.0957958698272705,409.05516370412727,NaN,0.021895968450417413
3busfrank.pwf,17,LOCALLY_SOLVED,3.232481002807617,6.966426415540908e-6,NaN,0.026552465014590076
3busfrank_continuous_shunt.pwf,17,LOCALLY_SOLVED,4.22173810005188,9.040708435121938e-6,NaN,0.018170849654113752
3busfrank_qlim.pwf,17,LOCALLY_SOLVED,4.212414979934692,1.8732116008350065e-5,NaN,0.14161834820693375
4busfrank_vlim.pwf,17,LOCALLY_SOLVED,4.139364957809448,646855.2026386126,NaN,0.1457401323976062
500bus.pwf,17,LOCALLY_SOLVED,4.978157043457031,472.8530457715625,NaN,0.9043109272910566
5busfrank.pwf,17,LOCALLY_SOLVED,3.085692882537842,6.960861254954099e-6,NaN,0.029528702891802094
5busfrank_cphs.pwf,17,LOCALLY_SOLVED,4.282770156860352,6.998008852090208e-6,NaN,0.050708454601208874
5busfrank_csca.pwf,17,LOCALLY_SOLVED,3.3637869358062744,19243.130570535395,NaN,0.17392834944698968
5busfrank_ctaf.pwf,17,LOCALLY_SOLVED,3.741283893585205,6.998008852090209e-6,NaN,0.05070845460120976
5busfrank_ctap.pwf,17,LOCALLY_SOLVED,3.1673789024353027,6.998008852090209e-6,NaN,0.05070845460120976
9bus.pwf,17,LOCALLY_SOLVED,3.9597160816192627,1.0461943832636933e-5,NaN,0.029169962124781623
9bus_transformer_fields.pwf,17,LOCALLY_SOLVED,4.566468000411987,1.0448199645049222e-5,NaN,0.027769631434165998
test_defaults.pwf,17,OTHER_ERROR,NaN,NaN,NaN,NaN
test_line_shunt.pwf,17,OTHER_ERROR,NaN,NaN,NaN,NaN
test_system.pwf,17,LOCALLY_SOLVED,3.2274010181427,3.482682443873497e-6,NaN,0.0024262491057589486
01 MAXIMA NOTURNA_DEZ25.PWF,18,TIMEOUT_KILLED,NaN,NaN,NaN,NaN
300bus.pwf,18,LOCALLY_SOLVED,3.393174886703491,663.1761058163346,NaN,5.935605720002343
3bus.pwf,18,LOCALLY_SOLVED,3.4442849159240723,6.9706177368152715e-6,NaN,0.009278048167097097
3bus_DBSH.pwf,18,LOCALLY_SOLVED,2.8716280460357666,1.0105053833979774e-5,NaN,0.030138848494866366
3bus_DCER.pwf,18,LOCALLY_SOLVED,2.6568398475646973,1.0423654755521204e-5,NaN,0.030322268926949114
3bus_DCSC.pwf,18,LOCALLY_SOLVED,2.695770025253296,9.052577142498913e-6,NaN,0.002882538484683561
3bus_DCline.pwf,18,LOCALLY_SOLVED,2.667741060256958,1.772225806489378e7,NaN,6.134444049100377
3bus_DSHL.pwf,18,LOCALLY_SOLVED,2.7391090393066406,4.207140539791801e6,NaN,0.17741921868352417
3bus_corrections.pwf,18,OTHER_ERROR,NaN,NaN,NaN,NaN
3bus_shunt_fields.pwf,18,LOCALLY_SOLVED,3.300557851791382,409.05516370412727,NaN,0.021895968450417413
3busfrank.pwf,18,LOCALLY_SOLVED,3.022481918334961,6.966426415540908e-6,NaN,0.026552465014590076
3busfrank_continuous_shunt.pwf,18,LOCALLY_SOLVED,4.2419960498809814,9.040708435121938e-6,NaN,0.018170849654113752
3busfrank_qlim.pwf,18,LOCALLY_SOLVED,4.065101146697998,1.8732116008350065e-5,NaN,0.14161834820693375
4busfrank_vlim.pwf,18,LOCALLY_SOLVED,2.9556620121002197,646855.2026386126,NaN,0.1457401323976062
500bus.pwf,18,LOCALLY_SOLVED,4.328690767288208,472.85304577159826,NaN,0.9043109272909907
5busfrank.pwf,18,LOCALLY_SOLVED,4.522641897201538,6.960861254954099e-6,NaN,0.029528702891802094
5busfrank_cphs.pwf,18,LOCALLY_SOLVED,5.80457615852356,6.998008852090208e-6,NaN,0.050708454601208874
5busfrank_csca.pwf,18,LOCALLY_SOLVED,4.616479158401489,19243.13057053539,NaN,0.17392834944698968
5busfrank_ctaf.pwf,18,LOCALLY_SOLVED,4.380203008651733,6.9589058966213205e-6,NaN,0.04196498907561974
5busfrank_ctap.pwf,18,LOCALLY_SOLVED,5.066781997680664,6.9589058966213205e-6,NaN,0.04196498907561974
9bus.pwf,18,LOCALLY_SOLVED,5.071043014526367,1.0461943832636933e-5,NaN,0.029169962124781623
9bus_transformer_fields.pwf,18,LOCALLY_SOLVED,2.991208076477051,1.0454693606338614e-5,NaN,0.027324448159464332
test_defaults.pwf,18,OTHER_ERROR,NaN,NaN,NaN,NaN
test_line_shunt.pwf,18,OTHER_ERROR,NaN,NaN,NaN,NaN
test_system.pwf,18,LOCALLY_SOLVED,2.9244768619537354,3.482682443873497e-6,NaN,0.0024262491057589486
