Caso,Formulacao,Status,Tempo_s,Vmin_pu,Vmax_pu,Pg_total_MW,Qg_total_MVAr,Perdas_MW,Slacks,N_Barras,N_CSCA,N_CTAP
300bus,(15) PM,LOCALLY_SOLVED,8.046712208,0.8495152230304616,1.1955747529657261,23047.62689043383,8925.800239458338,577.7847641867446,0.0,300,0,0
300bus,(16) QLIM+VLIM,LOCALLY_SOLVED,0.50002975,0.8999999900002237,1.1000000109989598,23036.415298173735,8674.069871242873,566.572292502713,396742.94297644164,300,0,0
300bus,(17) +CSCA,LOCALLY_SOLVED,0.357073291,0.8999999900002237,1.1000000109989598,23036.415298173735,8674.069871242873,566.572292502713,396742.94297644164,300,0,0
300bus,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.379828375,0.9030989681340547,1.0998677940191168,23614.05829356201,7645.4195744431445,1144.2152934854234,1.0572452843128952e-9,300,0,60
3bus,(15) PM,LOCALLY_SOLVED,0.161915792,0.9970372619666746,1.03,31.256821619377206,6.162298131334866,0.8670680446411616,0.0,3,0,0
3bus,(16) QLIM+VLIM,LOCALLY_SOLVED,0.001732583,0.9970369891564238,1.0299999999943505,31.257073895775868,6.1625406511821375,0.8670738957758495,6.45022917377376e-17,3,0,0
3bus,(17) +CSCA,LOCALLY_SOLVED,0.001848375,0.9970369891564238,1.0299999999943505,31.257073895775868,6.1625406511821375,0.8670738957758495,6.45022917377376e-17,3,0,0
3bus,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.002022875,0.9970369891564238,1.0299999999943505,31.257073895775868,6.1625406511821375,0.8670738957758495,6.45022917377376e-17,3,0,0
3bus_DBSH,(15) PM,LOCALLY_SOLVED,0.002840667,0.9601700846236046,1.03,33.266114059458054,47.55234123848121,2.8761140954691733,0.0,3,0,0
3bus_DBSH,(16) QLIM+VLIM,LOCALLY_SOLVED,0.00174725,0.9601700845545259,1.029999999999393,33.26611410078247,47.55234127511875,2.8761141007824342,8.59289616845287e-18,3,0,0
3bus_DBSH,(17) +CSCA,LOCALLY_SOLVED,0.002131416,1.0289999999978745,1.0299999999961535,32.163143734338654,-32.27391950097815,1.7731437343389445,1.5709431649930915e-16,3,1,0
3bus_DBSH,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.001815041,1.0289999999978745,1.0299999999961535,32.163143734338654,-32.27391950097815,1.7731437343389445,1.5709431649930915e-16,3,1,0
3bus_DCER,(15) PM,LOCALLY_SOLVED,0.002385834,0.9601700846236046,1.03,33.266114059458054,47.55234123848121,2.8761140954691733,0.0,3,0,0
3bus_DCER,(16) QLIM+VLIM,LOCALLY_SOLVED,0.001761916,0.9601700845545259,1.029999999999393,33.26611410078247,47.55234127511875,2.8761141007824342,8.59289616845287e-18,3,0,0
3bus_DCER,(17) +CSCA,LOCALLY_SOLVED,0.001872541,1.0289999999978745,1.0299999999961535,32.163143734338654,-32.27391950097815,1.7731437343389445,1.5709431649930915e-16,3,1,0
3bus_DCER,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.002010292,1.0289999999978745,1.0299999999961535,32.163143734338654,-32.27391950097815,1.7731437343389445,1.5709431649930915e-16,3,1,0
3bus_DCSC,(15) PM,LOCALLY_SOLVED,0.004085917,1.029,1.03,30.96399780952126,5.865100412076874,0.5750501831053079,0.0,3,0,0
3bus_DCSC,(16) QLIM+VLIM,LOCALLY_SOLVED,0.002360542,1.017823302991474,1.0361980937767095,30.661113243350247,5.4693039764387175,0.2711132433503849,226.19933621301996,3,0,0
3bus_DCSC,(17) +CSCA,LOCALLY_SOLVED,0.004852375,1.017823302991474,1.0361980937767095,30.661113243350247,5.4693039764387175,0.2711132433503849,226.19933621301996,3,0,0
3bus_DCSC,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.002735667,1.017823302991474,1.0361980937767095,30.661113243350247,5.4693039764387175,0.2711132433503849,226.19933621301996,3,0,0
3bus_DCline,(15) PM,LOCALLY_SOLVED,0.002666459,0.9970372619666746,1.03,42.61721156975682,3.0810110514852616,0.8667809116873926,0.0,3,0,0
3bus_DCline,(16) QLIM+VLIM,LOCALLY_SOLVED,0.002109334,0.9970369891564238,1.0299999999942555,42.617463846155616,6.162264622817723,0.8667867628219916,6.451010634831262e-17,3,0,0
3bus_DCline,(17) +CSCA,LOCALLY_SOLVED,0.001634917,0.9970369891564238,1.0299999999942555,42.617463846155616,6.162264622817723,0.8667867628219916,6.451010634831262e-17,3,0,0
3bus_DCline,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.001586208,0.9970369891564238,1.0299999999942555,42.617463846155616,6.162264622817723,0.8667867628219916,6.451010634831262e-17,3,0,0
3bus_DSHL,(15) PM,LOCALLY_SOLVED,0.002810583,0.6621750315922079,1.029,120.44526351414804,319.0754677947872,103.0453207275655,0.0,3,0,0
3bus_DSHL,(16) QLIM+VLIM,LOCALLY_SOLVED,0.00278525,0.8999999900000356,1.0458195817576248,35.13874964867594,130.40000130395995,17.738749648675878,4.207423812243384e6,3,0,0
3bus_DSHL,(17) +CSCA,LOCALLY_SOLVED,0.002534417,0.8999999900000356,1.0458195817576248,35.13874964867594,130.40000130395995,17.738749648675878,4.207423812243384e6,3,0,0
3bus_DSHL,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.003071292,0.8999999900000356,1.0458195817576248,35.13874964867594,130.40000130395995,17.738749648675878,4.207423812243384e6,3,0,0
3bus_corrections,(15) PM,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3bus_corrections,(16) QLIM+VLIM,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3bus_corrections,(17) +CSCA,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3bus_corrections,(18) +CSCA+CTAP,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3bus_shunt_fields,(15) PM,LOCALLY_SOLVED,0.002550834,1.0147115555220532,1.03,31.430496262879903,31.142985257801932,1.0404962706971332,0.0,3,0,0
3bus_shunt_fields,(16) QLIM+VLIM,LOCALLY_SOLVED,0.001817541,1.0061539872779495,1.0521505765673511,33.01443949563383,30.475440889007178,2.62443949563389,1106.2828008748395,3,0,0
3bus_shunt_fields,(17) +CSCA,LOCALLY_SOLVED,0.001903,1.0290000000232997,1.030000000045062,32.192665130012834,-20.116132623169612,1.802665130012926,9.262060457195361e-15,3,2,0
3bus_shunt_fields,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.001855959,1.0290000000232997,1.030000000045062,32.192665130012834,-20.116132623169612,1.802665130012926,9.262060457195361e-15,3,2,0
500bus,(15) PM,LOCALLY_SOLVED,0.1253175,0.9847184287659362,1.041359091933609,7602.047576044487,1505.2774376685968,86.29273973893201,0.0,500,0,0
500bus,(16) QLIM+VLIM,LOCALLY_SOLVED,0.163663209,0.9839203702366862,1.0434853311870227,7602.120924727993,1514.404389732067,86.36592472820614,803.2939014251633,500,0,0
500bus,(17) +CSCA,LOCALLY_SOLVED,0.169240708,0.9829990248270044,1.047668616989342,7601.771055003496,1611.6736780820581,86.01605500355124,450.1051998982823,500,15,0
500bus,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.216871334,0.9829990248270045,1.04766861698934,7601.771055003492,1611.6736780818935,86.01605500352714,450.105199898148,500,15,0
9bus,(15) PM,LOCALLY_SOLVED,0.003090917,1.050078551206911,1.083478660355622,317.49138602465393,-5.4523028591420095,2.491393723524249,0.0,9,0,0
9bus,(16) QLIM+VLIM,LOCALLY_SOLVED,0.002533459,1.0500785120613512,1.0834786408657031,317.4913923705419,-5.452174692996,2.491392370541723,2.6279705212158094e-14,9,0,0
9bus,(17) +CSCA,LOCALLY_SOLVED,0.002430209,1.0500785120613512,1.0834786408657031,317.4913923705419,-5.452174692996,2.491392370541723,2.6279705212158094e-14,9,0,0
9bus,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.002885583,1.0500785120613512,1.0834786408657031,317.4913923705419,-5.452174692996,2.491392370541723,2.6279705212158094e-14,9,0,0
9bus_transformer_fields,(15) PM,LOCALLY_SOLVED,0.004109459,1.050078551206911,1.083478660355622,317.49138602465393,-5.4523028591420095,2.491393723524249,0.0,9,0,0
9bus_transformer_fields,(16) QLIM+VLIM,LOCALLY_SOLVED,0.003284917,1.0500785121218186,1.0834786409268766,317.4913923702484,-5.452174715403343,2.4913923702485574,4.530796300123703e-15,9,0,0
9bus_transformer_fields,(17) +CSCA,LOCALLY_SOLVED,0.002762833,1.0500785121218186,1.0834786409268766,317.4913923702484,-5.452174715403343,2.4913923702485574,4.530796300123703e-15,9,0,0
9bus_transformer_fields,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.0025665,1.0479957957106267,1.0826074204806129,317.5009873594661,3.8796786551421105,2.5009883588720916,3.965915760321858e-15,9,0,2
3busfrank,(15) PM,LOCALLY_SOLVED,0.003046334,0.9671757836801774,1.03,47.10774741558885,25.423027902278676,2.707747470226085,0.0,3,0,0
3busfrank,(16) QLIM+VLIM,LOCALLY_SOLVED,0.001923209,0.9671757836220344,1.0299999999950415,47.107747476161414,25.423027960429145,2.707747476161604,2.5314990548749786e-17,3,0,0
3busfrank,(17) +CSCA,LOCALLY_SOLVED,0.001687,0.9671757836220344,1.0299999999950415,47.107747476161414,25.423027960429145,2.707747476161604,2.5314990548749786e-17,3,0,0
3busfrank,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.001579083,0.9671757836220344,1.0299999999950415,47.107747476161414,25.423027960429145,2.707747476161604,2.5314990548749786e-17,3,0,0
3busfrank_continuous_shunt,(15) PM,LOCALLY_SOLVED,0.002283625,0.9905575631875716,1.03,46.28878033625447,44.2598163783641,1.8892618293344654,0.0,3,0,0
3busfrank_continuous_shunt,(16) QLIM+VLIM,LOCALLY_SOLVED,0.002141833,0.9905573644300326,1.0299999999893321,46.289288066320104,44.260299521511925,1.8892880663200273,1.141181153813731e-16,3,0,0
3busfrank_continuous_shunt,(17) +CSCA,LOCALLY_SOLVED,0.001920458,1.029000000057323,1.0300000000460547,46.4208379962142,-47.35352483067729,2.0208379962141976,1.867724887039259e-14,3,2,0
3busfrank_continuous_shunt,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.001878333,1.029000000057323,1.0300000000460547,46.4208379962142,-47.35352483067729,2.0208379962141976,1.867724887039259e-14,3,2,0
5busfrank,(15) PM,LOCALLY_SOLVED,0.002271125,0.9467972181258012,1.03,48.30967112196357,30.468634117246733,3.129671277634971,0.0,5,0,0
5busfrank,(16) QLIM+VLIM,LOCALLY_SOLVED,0.001784167,0.9467972178911064,1.030000000009224,48.30967129805276,30.468634284254343,3.129671298052683,5.207695891113025e-16,5,0,0
5busfrank,(17) +CSCA,LOCALLY_SOLVED,0.001525708,0.9467972178911064,1.030000000009224,48.30967129805276,30.468634284254343,3.129671298052683,5.207695891113025e-16,5,0,0
5busfrank,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.001596792,0.9467972178911064,1.030000000009224,48.30967129805276,30.468634284254343,3.129671298052683,5.207695891113025e-16,5,0,0
3busfrank_qlim,(15) PM,LOCALLY_SOLVED,0.002542208,0.8761296860667384,1.03,66.40439861552427,115.6950572326032,16.014925368989186,0.0,3,0,0
3busfrank_qlim,(16) QLIM+VLIM,LOCALLY_SOLVED,0.004302042,0.8999999900143223,1.0525914182477205,65.0550451428764,113.97818427209829,14.665045142878434,792.2208942714997,3,0,0
3busfrank_qlim,(17) +CSCA,LOCALLY_SOLVED,0.003513583,0.8999999900143223,1.0525914182477205,65.0550451428764,113.97818427209829,14.665045142878434,792.2208942714997,3,0,0
3busfrank_qlim,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.002593834,0.8999999900143223,1.0525914182477205,65.0550451428764,113.97818427209829,14.665045142878434,792.2208942714997,3,0,0
4busfrank_vlim,(15) PM,LOCALLY_INFEASIBLE,0.009793959,NaN,NaN,NaN,NaN,NaN,0.0,0,0,0
4busfrank_vlim,(16) QLIM+VLIM,LOCALLY_SOLVED,0.003591125,0.8999999900002538,1.1000000109997918,67.36770417713718,110.42720772473386,14.587704177137088,655885.8455700449,4,0,0
4busfrank_vlim,(17) +CSCA,LOCALLY_SOLVED,0.005154625,0.8999999900002538,1.1000000109997918,67.36770417713718,110.42720772473386,14.587704177137088,655885.8455700449,4,0,0
4busfrank_vlim,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.003664916,0.8999999900002538,1.1000000109997918,67.36770417713717,110.42720772473393,14.587704177137084,655885.8455700453,4,0,0
5busfrank_cphs,(15) PM,LOCALLY_SOLVED,0.002605166,0.9125854669870186,1.03,59.76058822477983,22.136528663600586,4.590589585191607,0.0,5,0,0
5busfrank_cphs,(16) QLIM+VLIM,LOCALLY_SOLVED,0.001880291,0.9125854617994434,1.0300000000385579,59.760589896978026,22.136530261750597,4.590589896977892,9.66095025317845e-15,5,0,0
5busfrank_cphs,(17) +CSCA,LOCALLY_SOLVED,0.001829791,0.9125854617994434,1.0300000000385579,59.760589896978026,22.136530261750597,4.590589896977892,9.66095025317845e-15,5,0,0
5busfrank_cphs,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.002155834,0.9125854617994434,1.0300000000385579,59.760589896978026,22.136530261750597,4.590589896977892,9.66095025317845e-15,5,0,0
5busfrank_csca,(15) PM,LOCALLY_INFEASIBLE,0.01457325,NaN,NaN,NaN,NaN,NaN,0.0,0,0,0
5busfrank_csca,(16) QLIM+VLIM,LOCALLY_SOLVED,0.004441417,0.8999999900001541,1.1000000109998596,78.13313442363666,147.625180672387,22.96313442363691,786148.3674452137,5,0,0
5busfrank_csca,(17) +CSCA,LOCALLY_SOLVED,0.00203825,0.9899999998807409,1.0300000000427734,60.71262693715338,-16.016702674724325,5.542626937153283,2.0079698204586064e-14,5,3,0
5busfrank_csca,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.002031583,0.9899999998807409,1.0300000000427734,60.71262693715338,-16.016702674724325,5.542626937153283,2.007969820458578e-14,5,3,0
5busfrank_ctaf,(15) PM,LOCALLY_SOLVED,0.002728041,0.9125854669870186,1.03,59.76058822477983,22.13652866360059,4.590589585191607,0.0,5,0,0
5busfrank_ctaf,(16) QLIM+VLIM,LOCALLY_SOLVED,0.001735875,0.9125854617994434,1.0300000000385579,59.7605898969779,22.136530261750604,4.59058989697807,9.660950253121514e-15,5,0,0
5busfrank_ctaf,(17) +CSCA,LOCALLY_SOLVED,0.001905041,0.9125854617994434,1.0300000000385579,59.7605898969779,22.136530261750604,4.59058989697807,9.660950253121514e-15,5,0,0
5busfrank_ctaf,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.002661375,0.9937739249432461,1.0300770746795416,37.49099060174964,0.7281861973088805,-17.67902495714373,1.2651860250823555e-16,5,0,2
5busfrank_ctap,(15) PM,LOCALLY_SOLVED,0.002584792,0.9125854669870186,1.03,59.76058822477983,22.13652866360059,4.590589585191607,0.0,5,0,0
5busfrank_ctap,(16) QLIM+VLIM,LOCALLY_SOLVED,0.003349125,0.9125854617994434,1.0300000000385579,59.7605898969779,22.136530261750604,4.59058989697807,9.660950253121514e-15,5,0,0
5busfrank_ctap,(17) +CSCA,LOCALLY_SOLVED,0.001996042,0.9125854617994434,1.0300000000385579,59.7605898969779,22.136530261750604,4.59058989697807,9.660950253121514e-15,5,0,0
5busfrank_ctap,(18) +CSCA+CTAP,LOCALLY_SOLVED,0.001814667,0.9937739249432461,1.0300770746795416,37.49099060174964,0.7281861973088805,-17.67902495714373,1.2651860250823555e-16,5,0,2
test_defaults,(15) PM,ERRO: MethodError,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
test_defaults,(16) QLIM+VLIM,ERRO: MethodError,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
test_defaults,(17) +CSCA,ERRO: MethodError,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
test_defaults,(18) +CSCA+CTAP,ERRO: MethodError,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
test_line_shunt,(15) PM,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
test_line_shunt,(16) QLIM+VLIM,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
test_line_shunt,(17) +CSCA,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
test_line_shunt,(18) +CSCA+CTAP,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
test_system,(15) PM,LOCALLY_SOLVED,0.003535666,1.025,1.0409471878966674,34.828549286103275,-7.98867210012137,0.22855480010658957,0.0,4,0,0
test_system,(16) QLIM+VLIM,LOCALLY_SOLVED,0.002616625,1.024999999971028,1.040946591981659,34.82855382920313,-7.9884978207242705,0.2285538292031264,9.595442317104548e-16,4,0,0
test_system,(17) +CSCA,LOCALLY_SOLVED,0.002648791,1.024999999971028,1.040946591981659,34.82855382920313,-7.9884978207242705,0.2285538292031264,9.595442317104548e-16,4,0,0
