ID_Linha,De,Para,Pf_pu,Qf_pu,Pt_pu,Qt_pu,Perda_pu,Tap
1,1,2,0.07255806501802466,-0.07941418127426221,-0.07058005077171316,0.08131569773204157,0.001978014246311499,1.0
2,1,3,0.26861940974359055,0.08890249628161198,-0.25493381630168055,-0.07574617993414115,0.013685593441910004,1.0
3,2,3,0.20048005077171374,0.1634262668649001,-0.1890661836983192,-0.15245382006506233,0.011413867073394535,1.0
