ID_Barra,Tipo_Barra,Vm_pu,Va_graus,Pg_pu,Qg_pu,Pd_pu,Qd_pu,Slack_QLIM_pu,Slack_VLIM_pu
1,3,1.0290000000594017,0.0,0.47722626937153373,-0.27814265034135977,0.0,0.0,0.0,0.0
2,2,1.0300000000427734,-2.3100054713372122,0.12990000000000002,0.11797562359411651,0.0,0.0,0.0,0.0
3,1,0.9899999998807409,-4.7813075120070385,0.0,0.0,0.5039,1.003,0.0,-9.399770242299294e-12
4,1,1.0300000000196239,-8.27986102693519,0.0,0.0,0.0239,0.503,0.0,-2.7328968212204833e-12
5,1,1.0300000000040763,-8.74948759640469,0.0,0.0,0.0239,0.503,0.0,-1.1506922940085559e-12
