ID_Linha,De,Para,Pf_pu,Qf_pu,Pt_pu,Qt_pu,Perda_pu,Tap
1,3,4,0.051426265995235976,0.10948602358581144,-0.048534641003912415,-0.10670622939525737,0.0028916249913235603,1.0
2,1,2,0.11679111014992169,-0.12250537063789685,-0.1118940207921488,0.12721306979951236,0.004897089357772888,1.0
3,4,5,0.024634641003912217,0.05370622942690541,-0.023900000000000476,-0.05299999995353212,0.0007346410039117401,1.0
4,1,3,0.3509147888198589,0.06764097733230329,-0.3290827244810776,-0.04665324697347534,0.021832064338781265,1.0
5,2,3,0.2417940207921485,0.1807818561279015,-0.22624354151415904,-0.1658327766009937,0.01555047927798947,1.0
