ID_Barra,Tipo_Barra,Vm_pu,Va_graus,Pg_pu,Qg_pu,Pd_pu,Qd_pu
1,3,1.029,0.0,0.3531967112196357,0.02825309684671741,0.0,0.0
2,2,1.03,-1.5438511553723662,0.12990000000000002,0.27643324432574995,0.0,0.0
3,1,0.9618486284525785,-1.6088112129295684,0.0,0.0,0.444,0.22820000000000001
4,1,0.9518136850540507,-1.168139763996037,0.0,0.0,0.0039000000000000003,0.0232
5,1,0.9467972181258012,-0.9443029609653888,0.0,0.0,0.0039000000000000003,0.0232
