ID_Linha,Barra_De,Barra_Para,P_Fluxo_De_Para_pu,Q_Fluxo_De_Para_pu,P_Fluxo_Para_De_pu,Q_Fluxo_Para_De_pu,Perda_Ativa_pu
1,6749,6102,-0.47485374746013026,0.10210482044263064,0.4779999999999989,-0.09472144082514927,0.003146252539868666
2,45208,45209,-0.22745884431264762,0.08073737176151975,0.22799999999999987,-0.0777592140348874,0.0005411556873522461
3,5142,42400,0.03190849498825206,0.1252935766146776,-0.0317810752595656,-0.1707326880744488,0.000127419728686462
4,6705,6641,0.6961161621984832,-0.13419393802123394,-0.695792476809861,0.1341432257333041,0.00032368538862215246
5,48037,48038,-0.5554744398546297,-0.006456501829644037,0.557999999999999,0.016309282087975288,0.00252556014536931
6,5527,5449,-0.3124374760555317,-0.06012575682095559,0.3145187628390819,-0.11578523985498265,0.00208128678355024
7,5380,5350,-5.970329840623071,-2.0283784069836193,6.041726944085491,-1.786093201375782,0.07139710346242012
8,47511,48159,-0.6093602262931352,-0.01756348787321866,0.60943621591768,-0.3464185381407386,7.598962454480329e-5
9,6071,8081,-0.7150258306835051,-0.06769975759044677,0.7160584152555882,-0.007988212754625357,0.0010325845720831062
10,5091,5092,0.06246155751789758,-0.034422861623800226,-0.062394472327583626,-0.10487977943596574,6.708519031395355e-5
11,47507,47502,0.5989999999999999,0.02536178509966454,-0.5923063962304067,0.03995666035670013,0.006693603769593159
12,6313,8054,-0.1789999999998941,0.16097745644219685,0.1789999999998941,-0.16097689112939406,0.0
13,5003,5378,-1.4883412845448172,0.4760643266984582,1.5094352270588578,-0.4501040358946279,0.02109394251404062
14,5212,8023,0.21042272899630438,0.07041206342713915,-0.2099999999999989,-0.06864286429445068,0.0004227289963054659
15,5222,5101,0.8954510245990026,-0.20525082663436314,-0.8810426356201235,-0.14099319486495163,0.014408388978879083
16,5436,45019,0.22539360888461213,-3.245059347359179,-0.22473656725679014,-2.2302830326626637,0.0006570416278219859
17,8112,8114,-0.07986748654047636,0.012021707176832718,0.07999999999999995,-0.023782319929746675,0.00013251345952358662
18,8216,6222,-0.058916293841704034,0.01584935179911307,0.058999999999999816,-0.016930921663077195,8.37061582957821e-5
19,5257,5258,1.0621296698463912e-8,-0.001438157787288769,4.766423800789399e-16,0.00028929801175029996,1.0621297175106292e-8
20,5180,5200,-10.609543151936307,-0.6122375497454692,10.704001578430063,-0.17155804608426084,0.09445842649375535
21,7190,8188,-4.7217115499004185,-0.2789178382276066,4.7289342712091065,-0.1748072625991381,0.007222721308687952
22,5003,5732,0.20788506623878011,-0.023929923580156075,-0.20696454699090938,-0.14720554156598378,0.0009205192478707325
23,5060,5720,5.2838428550803025,-2.075105258892508,-5.242515676221694,0.35233237710616727,0.041327178858608704
24,6208,6278,-0.06567677178626168,0.004678446662975143,0.06599999999999999,-0.005182333712706287,0.00032322821373831356
25,5570,45019,-1.082517604357186,0.6743423085175331,1.082991037327272,-1.3003379718982395,0.00047343297008595187
26,6290,5860,8.269334759613843,-3.860681380394859,-8.163073361819531,-3.1638440921282784,0.10626139779431121
27,8685,8684,-0.08081316936012072,-0.0024977985049009083,0.081,-0.001486285980123389,0.00018683063987928739
28,46158,46160,-0.665870403258759,-0.010358185109492244,0.6670000000000003,0.007831425540977908,0.0011295967412412455
29,5756,5782,0.8316796553335573,0.5169250028797379,-0.8271037622361515,-0.5320661979551033,0.004575893097405803
30,46244,46243,0.6839999999999965,-0.33705001707005205,-0.6816794369415996,0.3422950918088294,0.002320563058396896
31,5731,5782,0.49923103792878365,-0.22776535565225192,-0.4974765158096002,0.187649355031613,0.001754522119183477
32,7274,7276,-0.1828138333685971,0.04353618174767446,0.1839999999999999,-0.043458559581630335,0.0011861666314028074
33,6130,8151,-3.0891996802461246,-0.5438064154431212,3.094266392784854,-0.26389899027018565,0.00506671253872959
34,5091,5155,-0.4497535074966985,0.01924211604469378,0.45163633599545316,-0.08901362684996855,0.0018828284987546517
35,5838,47126,-0.04799999999944024,-0.007349555031396449,0.04799999999944024,0.007349579958827235,0.0
36,5121,5222,-0.7413377635884381,-0.13091017576326253,0.7547212723239908,-0.003975301610072701,0.013383508735552718
37,6316,6361,-0.6026094175665546,-0.013741331447007232,0.6108160580772062,-0.14020910127047598,0.008206640510651564
38,6316,6361,-0.6067315459238347,-0.035730994572630154,0.6150057553981165,-0.16372198424789045,0.008274209474281813
39,6779,5612,-0.2901484854551892,0.020744054414808095,0.2909999999999994,-0.03539285677760052,0.0008515145448102501
40,6349,6444,-0.012253762499066043,0.03074533694384085,0.012253762499066043,-0.030320970026668004,0.0
41,45041,8771,-0.18647552540592807,0.036824910280192996,0.18700000000000008,-0.046367059395566984,0.0005244745940720108
42,8124,8127,-0.07781952186010516,0.01284948978472186,0.07799999999999979,-0.025868022341377278,0.00018047813989463535
43,6769,6136,-0.035992111001761695,-0.001229274117330358,0.036000000000000094,0.00020490500332375101,7.888998238399225e-6
44,5816,6160,-0.43296922412617395,0.0622339880100196,0.43499999999999933,-0.049255905224004734,0.0020307758738253856
45,46110,46112,-0.17156732948201817,0.05032619450564337,0.17199999999999752,-0.04940405277036377,0.00043267051797934997
46,5793,47278,6.835373060750868e-12,-0.0003914166659483928,4.4058455343255754e-13,0.0003914166732243504,7.275957614183426e-12
47,7187,6269,-0.7190572005559203,-0.12108545259490312,0.7199999999999994,0.12892213236707162,0.0009427994440791565
48,6107,6331,-0.11378790907703465,0.21226019059958773,0.11482155522176354,-0.3130770756218672,0.0010336461447288947
49,46801,46802,-0.5019974424730015,0.026261887572696083,0.5020000000000698,-0.02623631230155786,2.5575270683475537e-6
50,47581,47583,0.1443995276919503,0.040429200163499227,-0.1439999998889412,-0.05099977875404134,0.0003995278030091143
51,5995,46957,-0.07199999997277735,-4.079047357663512e-7,0.07199999997277735,4.572939360514283e-7,0.0
52,6000,48087,-0.9115715955361229,0.09082014895896298,0.925434041962521,-0.1459201838796901,0.013862446426398112
53,5458,5651,0.16109070312972965,0.06157778815241542,-0.16067879803013999,-0.15926577531654773,0.00041190509958966004
54,8715,8716,-0.5675751896626618,0.16395217063262446,0.5709999999999985,-0.16005217342945055,0.003424810337336659
55,5411,8319,1.1336302537091034,0.07968877950746972,-1.115950520571286,-0.12222240927580735,0.017679733137817344
