caso,script,branch_id,f_bus,t_bus,pf_pu,qf_pu,pt_pu,qt_pu,loss_p_pu,loss_q_pu
3bus_DCER.pwf,17,1,1,2,0.027124388787894485,-0.07383318526143982,-0.02605239518357562,0.07486372054956973,0.001071993604318866,0.001030535288129908
3bus_DCER.pwf,17,2,1,3,0.17719788013903093,0.19990908914033548,-0.1648333244116954,-0.1880227206510732,0.012364555727335524,0.011886368489262278
3bus_DCER.pwf,17,3,2,3,0.15595239518359322,0.27322437147851614,-0.1390666755882985,-0.25699169076259737,0.016885719595294724,0.016232680715918768
