caso,script,branch_id,f_bus,t_bus,pf_pu,qf_pu,pt_pu,qt_pu,loss_p_pu,loss_q_pu
3bus_DBSH.pwf,14,1,1,2,-2.035112266119697e-10,-1.2163364095923551e-8,2.035112266119697e-10,1.2163363651834341e-8,0.0,-4.440892098500626e-16
3bus_DBSH.pwf,14,2,1,3,0.16604627152519924,0.21353748189305943,-0.15194998127094583,-0.19998635203537918,0.014096290254253407,0.013551129857680255
3bus_DBSH.pwf,14,3,2,3,0.1660462726016026,0.21353749416298803,-0.15194998133356458,-0.19998636333073047,0.01409629126803802,0.013551130832257563
