caso,script,bus_id,vm_pu,va_rad,pd_pu,qd_pu,pg_pu,qg_pu,bus_type
5busfrank_ctap.pwf,15,1,1.029,0.0,0.0,0.0,0.46770588224779835,-0.08662962327274765,3
5busfrank_ctap.pwf,15,2,1.03,-0.0401054061645784,0.0,0.0,0.12990000000000002,0.30799490990875356,2
5busfrank_ctap.pwf,15,3,0.9570131968274065,-0.049591620082108885,0.5039,0.10300000000000001,0.0,0.0,1
5busfrank_ctap.pwf,15,4,0.9274502070120343,-0.037345912934946164,0.0239,0.053,0.0,0.0,1
5busfrank_ctap.pwf,15,5,0.9125854669870186,-0.03092509594460908,0.0239,0.053,0.0,0.0,1
