ID_Linha,Barra_De,Barra_Para,P_Fluxo_De_Para_pu,Q_Fluxo_De_Para_pu,P_Fluxo_Para_De_pu,Q_Fluxo_Para_De_pu,Perda_Ativa_pu,Tap_pu
1,6749,6102,-0.4750137000426821,0.09973475802883763,0.47799999999730985,-0.09460000001066676,0.002986299954627736,1.0
2,45208,45209,-0.22747564107819823,0.080474563022089,0.2279999999999977,-0.07779999998473464,0.0005243589217994726,1.0
3,5142,42400,0.07908795505756194,0.7521778415022502,-0.07598021349819517,-0.785699423419215,0.0031077415593667723,1.0
4,6705,6641,0.6961691284351015,-0.13193217218482814,-0.6958490670454149,0.13184385921786215,0.0003200613896865434,1.0
5,48037,48038,-0.5555920740605834,-0.008594528656734685,0.5579999999934989,0.016400000032643053,0.0024079259329155,1.0
6,5527,5449,-0.3124769647766621,-0.06434923389765046,0.3145263865559009,-0.11437041629473044,0.002049421779238836,1.0
7,5380,5350,-5.9617235957725425,-2.226220108347076,6.028503977373855,-1.9696877066444098,0.06678038160131283,1.0
8,47511,48159,-0.6095755803844017,-0.04792589849723243,0.6096447290242079,-0.3479736065707408,6.914863980611585e-5,1.0
9,6071,8081,-0.7151055174779436,-0.06992217844244858,0.7161217247491735,-0.007397307339479138,0.001016207271229863,1.0
10,5091,5092,0.06247628447179228,-0.04316962846597704,-0.06241661051550969,-0.10205701205316564,5.967395628259098e-5,1.0
11,47507,47502,0.5989999999999772,0.024989999991420632,-0.5927148994692782,0.03580382999260164,0.006285100530698973,1.0
12,6313,8054,-0.17899999999990154,0.161000576641527,0.17899999999990154,-0.16099999999278225,0.0,1.0
13,5003,5378,-1.4725777479188085,0.44577293192679057,1.4925639164558517,-0.42755919608003345,0.01998616853704327,1.0
14,5212,8023,0.21040659708103945,0.07070168419390328,-0.20999999996603944,-0.06899999997186186,0.00040659711500001805,1.0
15,5222,5101,0.8561907690631118,-0.38349105416642626,-0.8425437418322997,0.022603560896598665,0.013647027230812014,1.0
16,5436,45019,0.21591049259324713,-2.9539230953395452,-0.21578573768779385,-2.675573741343309,0.0001247549054532726,1.0
17,8112,8114,-0.07986123606216103,0.012982411227377621,0.07999999998678956,-0.024099999274761787,0.0001387639246285266,1.0
18,8216,6222,-0.058918017730020575,0.01576887431093616,0.05899999999995485,-0.016899999987713583,8.19822699342776e-5,1.0
19,5257,5258,4.781498786808006e-9,-0.0011692930877514425,-3.4314998759166215e-17,1.0144691602606906e-10,4.7814987524930075e-9,1.0
20,5180,5200,-10.944351967024623,0.3919361694793214,11.035620656873359,-1.465563055195502,0.09126868984873582,1.0
21,7190,8188,-4.722170678560373,-0.4111656526749737,4.729233586606658,-0.05835202495877251,0.007062908046284733,1.0
22,5003,5732,0.1972245847629423,-0.06625691660762528,-0.1964753376888883,-0.1106927214933286,0.0007492470740539936,1.0
23,5060,5720,5.330076347766366,0.5065959619747591,-5.2888706705035125,-2.3218182543165886,0.04120567726285351,1.0
24,6208,6278,-0.06568456407886414,0.004558518014154887,0.06599999999999795,-0.005149999987066698,0.0003154359211338109,1.0
25,5570,45019,-1.0436449580879712,-0.3053621081357331,1.0438824276963325,-0.33118278530708417,0.00023746960836135145,1.0
26,6290,5860,8.226491758781112,-3.6517878142147455,-8.119590705470989,-3.2163580825172144,0.10690105331012312,1.0
27,8685,8684,-0.08081759822274726,-0.002271313843484956,0.08099999999954743,-0.0018899999960239507,0.00018240177680017844,1.0
28,46158,46160,-0.6658927819017181,-0.011398706185489212,0.6669999999999405,0.007372999991704484,0.001107218098222451,1.0
29,5756,5782,0.7993009226384936,0.6907849948715307,-0.7941518523179022,-0.7042366057310286,0.00514907032059142,1.0
30,46244,46243,0.6839999999933295,-0.3369999999900476,-0.6817209783158322,0.34154387528705754,0.0022790216774972727,1.0
31,5731,5782,0.5107136616039578,-0.23211052500015128,-0.5089360195166228,0.19057029373841672,0.0017776420873349963,1.0
32,7274,7276,-0.18282599529102328,0.04347435936268609,0.18399999999931926,-0.043499999984835135,0.0011740047082959837,1.0
33,6130,8151,-3.090294120212103,-0.4542271203908267,3.095101387586293,-0.4021843730140934,0.004807267374189905,1.0
34,5091,5155,-0.449930309855649,0.009781584082101821,0.4517319799103758,-0.0832923258334508,0.0018016700547267561,1.0
35,5838,47126,-0.04799999999967883,-0.0069999764818931,0.04799999999967883,0.00700000005599577,0.0,1.0
36,5121,5222,-0.6945837411750614,-0.13062697612035754,0.7063296218893532,-0.012587007242432141,0.011745880714291834,1.0
37,6316,6361,-0.6415926806460676,-0.18618654638614493,0.6504557622123114,0.022398954096159746,0.008863081566243824,1.0
38,6316,6361,-0.6460311290188557,-0.2104326212368157,0.6549671843232842,-0.0019088101834104088,0.008936055304428425,1.0
39,6779,5612,-0.29022518945462267,0.017851211147908386,0.2909999999982778,-0.03529999997189043,0.0007748105436551356,1.0
40,6349,6444,-0.013345822725585921,0.023569449790502794,0.013345822725585921,-0.02329042716148555,0.0,1.0
41,45041,8771,-0.18649422720784434,0.036228771757567835,0.1869999999999957,-0.0463999999841021,0.00050577279215136,1.0
42,8124,8127,-0.0778180115572046,0.013462452243435504,0.07799999999953368,-0.02640000001219561,0.00018198844232908407,1.0
43,6769,6136,-0.03599223211718957,-0.0008571766432207122,0.03599999999999451,-0.00019999999453024393,7.767882804939064e-6,1.0
44,5816,6160,-0.43299298214831805,0.062486923242633906,0.4349999999997003,-0.04969999999137872,0.0020070178513822423,1.0
45,46110,46112,-0.1715674375164712,0.05032043341904206,0.17199999999915738,-0.04939999999401394,0.000432562482686194,1.0
46,5793,47278,2.722271145595105e-12,-2.722271145595105e-12,-2.722271145595105e-12,2.722271145595105e-12,0.0,1.0
47,7187,6269,-0.7190403287614916,-0.12092308060872314,0.7199999998714671,0.12890000000840418,0.000959671109975524,1.0
48,6107,6331,-0.08338199214184971,0.28018589775142627,0.0848435154822269,-0.37835929312798716,0.001461523340377191,1.0
49,46801,46802,-0.501997494967485,0.026425050191282835,0.5019999999909022,-0.02639999995870302,2.505023417143093e-6,1.0
50,47581,47583,0.14440267618636546,0.04052529048005621,-0.14399999999755095,-0.05099999999780064,0.0004026761888145103,1.0
51,5995,46957,-0.07200000000044993,5.135370884090662e-8,0.07200000000044993,0.0,0.0,1.0
52,6000,48087,-0.9238565643384764,0.09143618365488121,0.93766371219746,-0.15085143385331873,0.013807147858983626,1.0
53,5458,5651,0.16818559908108816,0.08191985587879316,-0.16771736067026094,-0.1859599379189895,0.0004682384108272153,1.0
54,8715,8716,-0.5676383178855003,0.16326149756996503,0.5709999999937582,-0.15999999999203043,0.003361682108257824,1.0
55,5411,8319,1.1251049862303177,0.08985833322553088,-1.1080555253050268,-0.13870046671004016,0.017049460925290916,1.0
56,8161,8136,-0.3012003480557039,-0.1310389150004043,0.30150890049858686,0.1038304861948178,0.00030855244288297,1.0
57,5926,5200,8.437114162754588,-2.1754205980407653,-8.385039778825206,0.6864074211921924,0.052074383929381796,1.0
58,8913,8916,0.36499999999857285,-0.10799999997091783,-0.3624647886933396,0.02576597947919959,0.0025352113052332648,1.0
59,6641,6017,-0.8298451678433203,-0.0692829151322293,0.8336206737703387,-0.12870502430698638,0.0037755059270183633,1.0
60,5294,5727,0.17999999999816377,-0.06519999999179275,-0.1797281844403491,0.04472407720423592,0.00027181555781466415,1.0
61,5401,8449,0.5500031926319642,0.18100319258813416,-0.5500000000072467,-0.18099999996341667,3.1926247174851596e-6,1.0
62,6353,5988,-0.3222326812918235,0.0012585230840856318,0.32349968173020205,0.0030485307004865583,0.0012670004383785738,1.0
63,44652,5431,0.9861205883010263,-0.16563383267507809,-0.9851437567068003,0.14602680908644422,0.000976831594226013,1.0
64,5468,5394,-0.1545796101333649,-0.01691224183589373,0.15648298798418775,-0.030109914796364663,0.0019033778508228405,1.0
65,8032,47318,-0.25299936555580493,-0.003999365558631021,0.2529999999101695,0.003999999912995614,6.34354364592582e-7,1.0
66,6223,6208,0.05399999999999828,-0.004019999987094378,-0.053742064886902315,0.003535379162167205,0.00025793511309596395,1.0
67,5202,5222,1.5536059279577328,-0.5091080704822871,-1.550894064062106,0.5021719026260342,0.0027118638956267205,1.0
68,5713,47135,-0.10699999998810442,1.1239899322390556e-7,0.10699999998810442,0.0,0.0,1.0
69,8714,45204,-0.8433598863111603,-0.4237715340266322,0.8437742584272486,-0.8199989234148815,0.0004143721160883018,1.0
70,5842,5981,0.5867102057530313,0.06164196743671302,-0.5865874146002763,-0.06897421598543407,0.00012279115275504182,1.0
71,8207,5350,5.755949764152381,-0.36532518152822485,-5.743869362008646,-0.2047251443315145,0.012080402143734403,1.0
72,8647,6167,-0.10999999999994373,-0.02223689483386515,0.10999999999994373,0.024090000008572865,0.0,1.0
73,5679,5176,-2.4993508196663825,-1.4292184970561124,2.50348992287683,-0.5296956909868556,0.004139103210447637,1.0
74,5073,8087,-0.11981678028450095,0.02071186416923939,0.11994777997617125,-0.02080122337918385,0.00013099969167029712,1.0
75,5131,5346,-0.004980751181250229,0.13179591509238636,0.00514344887506539,-0.19174138007300118,0.00016269769381516141,1.0
76,47609,47615,-0.2691675007565815,-0.10224913662772908,0.26999999999880236,0.10510000000581857,0.000832499242220841,1.0
77,45107,5176,1.180589945977,0.3983648642284563,-1.1798904900996117,-1.4037749697158985,0.0006994558773882886,1.0
78,5246,5257,-0.00017366027444974794,-0.002930192386065305,0.0001738347899811072,0.001167005321839459,1.745155313592761e-7,1.0
79,5091,5101,0.4925054014158996,-0.1919673507698535,-0.49218376232159367,0.16443532847336984,0.0003216390943059366,1.0
80,5488,5481,0.9351200723886238,-0.28254236061049687,-0.9342527012642788,0.2569411521750502,0.0008673711243449844,1.0
81,6367,6266,-0.10790627973818732,0.012781487034107739,0.10799999999998554,-0.014299999986848375,9.372026179821358e-5,1.0
82,46138,46139,-0.5937620647730196,0.029658148312284263,0.5989999999951942,-1.2128589799154099e-11,0.005237935222174528,1.0
83,6341,6620,-0.6001557487596708,-0.08213959683881975,0.6040526397818796,-0.16993865241294528,0.003896891022208804,1.0
84,44668,5631,2.6235375257172677,-0.6034159228010589,-2.6173653018783654,0.6192858858853578,0.006172223838902369,1.0
86,6011,5917,0.20508414053903998,-0.18486437061312883,-0.20497904837512035,0.11733734051838424,0.00010509216391962894,1.0
87,48171,48164,0.15299999999998853,-0.08019999997259242,-0.15245604182071176,0.0799485817100305,0.0005439581792767711,1.0
