ID_Linha,Barra_De,Barra_Para,P_Fluxo_De_Para_pu,Q_Fluxo_De_Para_pu,P_Fluxo_Para_De_pu,Q_Fluxo_Para_De_pu,Perda_Ativa_pu,Tap_pu
1,5002,6052,-0.2092197438459149,-0.0030553328070030555,0.20999999999999763,-0.026500000274915655,0.0007802561540827258,1.0
2,5926,5380,2.1942272699331875,-1.7631440752361756,-2.188043671969871,-2.243886330542901,0.006183597963316689,1.0
3,46201,46202,1.2570000000000008,-0.1569999941961083,-1.2545233671762643,0.20544832639149288,0.0024766328237364466,1.0
4,8143,48115,-0.15375966178717518,0.027137699371931428,0.15400000000000008,-0.018500005828418358,0.0002403382128249032,1.0
5,6141,8205,-0.31371433537996707,0.0036127793742225037,0.31390161264862526,-0.025328227229593443,0.0001872772686581925,1.0
6,46738,46739,-0.32283034041359004,0.07946001907690073,0.3240000000000004,-0.0737999996431015,0.0011696595864103543,1.0
7,5373,5374,-0.1903176694506219,0.007581884274720022,0.19199999999999973,-0.016299999765114162,0.0016823305493778307,1.0
8,6143,5814,-0.2577806149407683,-0.00981103176285062,0.2582899443141523,-0.03433999802366335,0.0005093293733839932,1.0
9,45276,45278,-0.2523151934017107,0.1023971493180871,0.2529999999999999,-0.09999999704981247,0.0006848065982891782,1.0
10,5073,8089,-0.17955055972528175,0.026648648238153876,0.17990679578710164,-0.026198345938176097,0.0003562360618198923,1.0
11,8792,8938,-0.32046106638870053,0.0018848593238805778,0.32199999999999995,-0.07790000122174465,0.00153893361129942,1.0
12,5351,45092,-1.3814798252458154,0.06187991534477258,1.3838240829876796,-0.062263699684689394,0.0023442577418641974,1.0
13,5073,8087,-0.11982383014961863,0.019408171202578074,0.1199497834967307,-0.019525097930639702,0.0001259533471120733,1.0
14,6101,5041,-0.9320517689426807,0.09011942422841657,0.9347133995873494,-0.16067738214164706,0.0026616306446687332,1.0
15,8441,8442,-0.3003037664543812,0.21723699350357986,0.30200000000000043,-0.20799999973977126,0.001696233545619208,1.0
16,5462,5461,-2.719179048593645e-15,-1.6997115108614846e-9,3.957397924080584e-6,-0.07438851249878461,3.957397921361405e-6,1.0
17,5128,6141,-0.2974443718551936,-0.9667898818896148,0.2980028007280365,0.9481554842244904,0.0005584288728428533,1.0
18,5176,5318,-0.12140298311050353,-1.4572764566316447,0.12141633640081435,-1.4753255817741309,1.3353290310824661e-5,1.0
19,5383,8016,-0.48285691823779564,0.025275009188951633,0.4854794077132817,-0.013358990564460091,0.002622489475486045,1.0
20,5271,5222,-0.2697722225742768,-0.018639199063656076,0.2697722225742768,0.05540650345661291,0.0,1.0
21,5461,5351,-0.10304641835030906,-0.05357315308457495,0.10308118082619358,0.02133382406660595,3.476247588451997e-5,1.0
23,8747,5461,0.6663224316589887,-0.12123522579994504,-0.6640117591838163,-0.010096629660659842,0.0023106724751724705,1.0
24,6149,6150,-0.43613510645593845,-0.05208922530272056,0.4370000000000007,-0.0046199814728802024,0.0008648935440622729,1.0
25,44594,5262,0.27494734735339077,0.037370049122693864,-0.27486339253475234,-0.05352471838409061,8.395481863843202e-5,1.0
26,45376,45377,-0.5386853675858785,-0.002240069842265706,0.5390000000000001,0.017710000236084093,0.00031463241412166276,1.0
27,5216,8446,0.15000024795422698,0.04400025385716096,-0.14999999999686744,-0.04400000589980143,2.4795735953375697e-7,1.0
28,5924,5350,-4.692443882871914,0.23632846001258195,4.706819440952928,-1.8875066113385468,0.01437555808101365,1.0
29,5071,5254,1.63812187802916,-0.15774332118540238,-1.6256085148000872,0.010587918068426433,0.012513363229072816,1.0
30,7069,9466,0.6900000000000002,-0.15199999540730735,-0.6890226490141169,0.1346861720771303,0.0009773509858832519,1.0
31,5351,5441,0.0231916213720174,-0.39669322313323147,-0.02174345398413262,0.28986925965564897,0.00144816738788478,1.0
32,5071,8796,-0.21716889099829806,-0.05848555598889521,0.21732579520261708,0.027236693098721954,0.00015690420431901941,1.0
33,5212,5380,-0.07137334318773285,-0.02456328475251246,0.07137334318773285,0.04385794035009383,0.0,1.0
34,44538,44710,-1.4894261851336137,0.039315626346471955,1.5,0.0072070029454527895,0.01057381486638631,1.0
35,8589,6103,0.32229256857879457,-0.053087551628887994,-0.32172874905549503,0.05574489373643131,0.0005638195232995358,1.0
36,8590,6105,-0.3222925685787961,0.04221677207656045,0.32399999999999946,-0.04160002698625549,0.0017074314212033315,1.0
37,6033,6035,-0.1746305772379537,-0.08105777224985815,0.1749999999999998,0.05057999670741069,0.00036942276204610103,1.0
38,5212,5222,-0.25885671637366015,-0.01658633164706158,0.25885671637366015,0.051833881170734175,0.0,1.0
39,8971,46734,-0.5585621146089056,-0.18977655415321354,0.5586242781113614,-0.17700946782670596,6.216350245580315e-5,1.0
40,44861,44864,-0.08081151965753335,0.00705653412321041,0.08099999999999667,-0.012900000256063214,0.00018848034246332634,1.0
41,46378,8765,-0.1525367542964453,0.037449910716670344,0.15300000000000014,-0.03580002711504069,0.0004632457035548265,1.0
42,44109,5211,-1.3116038203447866e-13,-1.526035537085385e-12,8.543986373434065e-12,-0.0005708951114885223,8.412825991399586e-12,1.0
43,5431,5337,-0.8542152246020868,0.2937796552792177,0.857846289821112,-0.32072817373632867,0.0036310652190252313,1.0
44,7938,7939,-0.3387894415129434,0.037909475765330894,0.3399999999999999,-0.05050000119965571,0.0012105584870565345,1.0
45,5235,5252,-0.35196849357962895,-0.06627276070825382,0.3649228595184843,0.022411166417287007,0.01295436593885535,1.0
46,8413,44515,-0.03083450579052877,0.0032567137742195076,0.030999999999999975,-0.0050300012671869645,0.0001654942094712064,1.0
47,45906,45908,-0.3217683769625724,0.10438490630212319,0.32399999999999923,-0.10700002195202932,0.0022316230374268553,1.0
48,5271,5378,-0.027638776389187276,-0.017451947681461716,0.027638776389187276,0.021814896373151538,0.0,1.0
