ID_Barra,Tipo_Barra,Tensao_Base_kV,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu,P_Carga_pu,Q_Carga_pu,Desvio_Tensao_QLIM_pu,Corte_Reativo_VLIM_pu,Corte_Ativo_DERA_pu,Corte_Reativo_DERA_pu
5049,1,69.0,1.002937956364432,-17.478615965949835,0.0,0.0,0.0,0.0,0.0,-3.301954078400219e-10,0.0,0.0
5050,1,500.0,1.0815273989887622,-1.268898142083,0.0,0.0,0.0,0.0,0.0,-4.469073563794288e-10,0.0,0.0
5051,2,992.0,1.0429369046194195,3.6589368039989543,2.3,-0.21091209890894677,0.0,0.0,0.0,0.0,0.0,0.0
5054,2,992.0,1.0429369046194195,3.6589368039989543,2.3,-0.21091209890894677,0.0,0.0,0.0,0.0,0.0,0.0
5057,1,69.0,1.002752020174144,-17.43585512736884,0.0,0.0,0.0,0.0,0.0,-3.26106276861076e-10,0.0,0.0
5058,1,34.5,0.9996640559618769,-16.33306112029948,0.0,0.0,0.0,0.0,0.0,-3.4646243081165736e-10,0.0,0.0
5059,1,34.5,0.999983559963275,-16.633736492112398,0.0,0.0,0.0,0.0,0.0,-3.3604363943756463e-10,0.0,0.0
5060,1,500.0,1.069397259659511,-5.351842034605149,0.0,0.0,0.0,0.0,0.0,-6.968956615235083e-11,0.0,0.0
5061,3,992.0,1.0404005038091266,0.0,12.14919990543223,0.20402897528969666,0.0,0.0,0.0,0.0,0.0,0.0
5067,1,34.5,0.9991830807666454,-15.662924659693527,0.0,0.0,-0.06,0.00885,0.0,-3.506159876551789e-10,0.0,0.0
5068,1,13.8,1.0152283045951929,17.17862944324043,0.0,0.0,0.0,0.0,0.0,-2.6217715729608987e-8,0.0,0.0
5069,1,991.0,1.0152282971835749,17.17862944324043,0.0,0.0,0.0,0.0,0.0,-2.6211353189541673e-8,0.0,0.0
5071,1,230.0,1.0124338948777678,15.720164033943304,0.0,0.0,0.0,0.0,0.0,-2.5992543594425355e-8,0.0,0.0
5073,1,69.0,1.0156095374951837,17.05833419882136,0.0,0.0,0.032,0.015,0.0,-2.6196211687964275e-8,-8.181828131633107e-9,-3.835231936703019e-9
5075,1,34.5,1.0076511516131,19.57712806456272,0.0,0.0,-0.12,0.044500000000000005,0.0,-2.6753780590645972e-8,0.0,0.0
5078,1,34.5,0.9996512560322733,21.91009613799829,0.0,0.0,-0.315,0.0463,0.0,7.0366969725496315e-9,0.0,0.0
5079,1,34.5,1.0086247593400748,19.772374850899237,0.0,0.0,-0.1,0.038,0.0,-2.6578818298354012e-8,0.0,0.0
5081,1,230.0,1.0084412450021465,4.583241851041391,0.0,0.0,0.0,0.0,0.0,-1.0266647726402962e-9,0.0,0.0
5083,1,69.0,1.0018603088785807,1.773256810718754,0.0,0.0,1.7310000000000003,0.37799999999999995,0.0,-1.0434404324073765e-9,-8.181819738154204e-9,-1.7866712079851462e-9
5090,1,500.0,1.0935907672009064,-1.9948324459919722,0.0,0.0,0.0,0.0,0.0,-3.815900116536773e-10,0.0,0.0
5091,1,230.0,1.0045953336971265,-2.951313821835873,0.0,0.0,0.0,0.0,0.0,-3.876669774302009e-10,0.0,0.0
5092,1,230.0,1.0016367097755206,-3.196236626026326,0.0,0.0,0.0,0.0,0.0,-4.0257729806706387e-10,0.0,0.0
5093,1,69.0,1.0059321717152119,-4.300329825548396,0.0,0.0,0.335,0.133,0.0,-3.917424050178734e-10,-8.181817733511275e-9,-3.248303756886566e-9
5096,1,991.0,1.02143244763687,4.70625827593107,0.0,0.0,0.0,0.0,0.0,-1.6513672095960608e-10,0.0,0.0
5097,1,13.8,1.0214324476550316,4.70625827593107,0.0,0.0,0.0,0.0,0.0,-1.67458502285571e-10,0.0,0.0
5098,1,230.0,1.0032244898742004,-2.5952633209583884,0.0,0.0,0.0,0.0,0.0,-4.216364483728835e-10,0.0,0.0
5099,1,69.0,1.0107117808558488,-4.469117787724904,0.0,0.0,0.415,0.171,0.0,-3.8173714413408424e-10,-8.181817731875028e-9,-3.3713032100015176e-9
5100,1,500.0,1.0870384443775252,-2.498947809862227,0.0,0.0,0.0,0.0,0.0,-3.377948978524078e-10,0.0,0.0
5101,1,230.0,1.0053549571541758,-3.191457295913657,0.0,0.0,0.0,0.0,0.0,-3.390465723049999e-10,0.0,0.0
5102,1,991.0,1.005898469075859,-3.950348031651686,0.0,0.0,0.0,0.0,0.0,-3.1956868790247983e-10,0.0,0.0
5103,1,69.0,1.006206635574437,-3.9218705831338494,0.0,0.0,-0.004,0.0,0.0,-3.2054714722784673e-10,0.0,0.0
5104,1,13.8,1.0058984691633954,-3.950348031651686,0.0,0.0,0.0,0.0,0.0,-3.2606069884916856e-10,0.0,0.0
5106,1,13.8,1.002720099034079,-4.316222733723801,0.0,0.0,0.009999999999999998,0.005,0.0,-2.538536724207178e-10,-9.090867605124437e-10,-4.5454338025622196e-10
5110,1,230.0,0.9832024672717783,-10.163369633914192,0.0,0.0,0.0,0.0,0.0,-3.105027343771859e-10,0.0,0.0
5111,1,230.0,1.002680098266848,-8.276904935703184,0.0,0.0,0.0,0.0,0.0,-2.7984545580317934e-10,0.0,0.0
5113,1,69.0,1.0121271888350203,-9.32032855273271,0.0,0.0,0.535,0.353,0.0,-2.59806596304583e-10,-8.18181782157634e-9,-5.398470450498033e-9
5115,1,13.8,1.0037977236719844,-16.54732878108374,0.0,0.0,0.512,0.128,0.0,-2.695755200133662e-10,-9.090818355168869e-10,-2.2727045887922172e-10
